,0,1,2,3,4,5,NMR_Peaks,Is In Ring,Is In Ring,IsInLinear
7_COOH_2,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['O', 'O']",['H'],[],-127.39,0,,-127.39
7_COOH_3,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'F']",['H'],[],-123.99,0,,-123.99
10_COOH_3,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['O', 'O']",['H'],-126.26,0,,-126.26
7_COOH_4,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",[],-122.87,0,,-122.87
10_COOH_4,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['O', 'O']",['H'],-123.25,0,,-123.25
13_COOH_4,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['O', 'O']",-126.44,0,,-126.44
7_COOH_5,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'F']",-122.01,0,,-122.01
10_COOH_5,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'F']",['H'],-122.99,0,,-122.99
13_COOH_5,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['O', 'O']",-122.99,0,,-122.99
16_COOH_5,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.29,0,,-126.29
7_COOH_6,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-121.84,0,,-121.84
10_COOH_6,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",-122.19,0,,-122.19
13_COOH_6,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['O', 'O']",-122.88,0,,-122.88
16_COOH_6,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-123,0,,-123
19_COOH_6,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.27,0,,-126.27
7_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-121.81,0,,-121.81
10_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']",-122.04,0,,-122.04
13_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'F']",-122.04,0,,-122.04
16_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']",-122.85,0,,-122.85
19_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-122.98,0,,-122.98
22_COOH_7,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.26,0,,-126.26
7_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-121.89,0,,-121.89
10_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']",-121.89,0,,-121.89
13_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']",-121.89,0,,-121.89
16_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']",-121.89,0,,-121.89
22_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']",-122.83,0,,-122.83
25_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']",-122.83,0,,-122.83
28_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-122.99,0,,-122.99
31_COOH_8,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.26,0,,-126.26
7_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-121.74,0,,-121.74
10_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']",-121.74,0,,-121.74
13_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']",-121.74,0,,-121.74
16_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']",-121.74,0,,-121.74
28_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']",-121.74,0,,-121.74
31_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']",-122.81,0,,-122.81
34_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-122.98,0,,-122.98
37_COOH_9,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.22,0,,-126.22
7_COOH_10,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'O', 'O']",['H'],-123.04,0,,-123.04
10_COOH_10,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'O', 'O']","['O', 'O', 'H']",['H'],-123.04,0,,-123.04
13_COOH_11,['C'],"['C', 'C', 'F']","['C', 'F', 'F', 'C', 'F', 'F']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']","['C', 'F', 'F']",-123.11,0,,-123.11
17_COOH_11,['C'],"['C', 'C', 'F']","['C', 'F', 'F', 'C', 'F', 'F']","['C', 'F', 'F', 'C', 'F', 'F']","['O', 'O', 'C', 'F', 'F']","['H', 'O', 'O']",-121.93,0,,-121.93
19_COOH_11,['C'],"['C', 'C', 'F']","['C', 'F', 'F', 'C', 'F', 'F']","['O', 'O', 'C', 'F', 'F']","['H', 'C', 'F', 'F']","['C', 'F', 'F']",-119.24,0,,-119.24
7_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-121.86,0,,-121.86
10_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']",-122.11,0,,-122.11
13_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['O', 'O', 'O', 'O']",-123,0,,-123
16_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']",-122.11,0,,-122.11
19_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']","['C', 'F', 'F']",-121.86,0,,-121.86
8_COOH_13,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'F']","['O', 'O']",['H'],-124.14,0,,-124.14
11_COOH_13,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'H', 'H']","['O', 'O']",-126.12,0,,-126.12
8_COOH_14,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",-121.95,0,,-121.95
11_COOH_14,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'F']","['O', 'O']",-122.97,0,,-122.97
14_COOH_14,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'H', 'H']",-123.17,0,,-123.17
17_COOH_14,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.27,0,,-126.27
8_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']",-121.73,0,,-121.73
11_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']",-122,0,,-122
14_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'F']",-122,0,,-122
17_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']",-122.82,0,,-122.82
20_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-123.11,0,,-123.11
23_COOH_15,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']","['C', 'F', 'F']",-126.23,0,,-126.23
10_COOH_16,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['C', 'F']","['C', 'H']","['O', 'O']",-127.28,0,,-127.28
10_COOH_17,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F', 'F', 'C']","['C', 'H', 'F', 'F', 'F']","['O', 'O']",-122.91,0,,-122.91
