,0,1,2,3,4,5,NMR_Peaks,OnRing,OnRing,NotOnRing,O-C(F)=C-
5_COOH_16,['C'],"['C', 'C']","['C', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",[],-109.19,0,,-109.19,
5_COOH_17,['C'],"['C', 'C']","['C', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-109.08,0,,-109.08,
5_COOH_18,['C'],"['C', 'C']","['C', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-109.02,0,,-109.02,
5_COOH_19,['C'],"['C', 'C']","['C', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']",-108.98,0,,-108.98,
0_aromatics_12,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['F', 'F']",[],-119.85,1,-119.85,,
0_aromatics_13,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['C', 'H', 'C', 'F']","['H', 'H']",[],-135.16,1,-135.16,,
6_aromatics_13,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['C', 'H', 'F', 'C']","['H', 'H']",[],-135.16,1,-135.16,,
8_aromatics_13,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'H', 'C', 'H']","['H', 'H']",[],-161.56,1,-161.56,,
0_aromatics_14,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'F']","['F', 'F']",[],-115.64,1,-115.64,,
5_aromatics_14,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['C', 'H', 'C', 'H']","['F', 'F']",[],-133.49,1,-133.49,,
7_aromatics_14,['C'],"['C', 'C']","['C', 'F', 'C', 'H']","['C', 'H', 'F', 'C']","['H', 'H']",[],-143.53,1,-143.53,,
3_aromatics_15,['C'],"['C', 'C']","['N', 'C', 'F', 'C']","['H', 'H', 'C', 'F', 'F', 'C']","['F', 'F']",[],-162.49,1,-162.49,,
5_aromatics_15,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['N', 'C', 'F', 'C']","['H', 'H', 'F', 'F']",[],-165.34,1,-165.34,,
7_aromatics_15,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['N', 'N']","['H', 'H', 'H', 'H']",-173.95,1,-173.95,,
9_aromatics_15,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'N', 'C']","['F', 'H', 'H', 'F']",[],-165.34,1,-165.34,,
11_aromatics_15,['C'],"['C', 'C']","['C', 'F', 'N', 'C']","['C', 'F', 'H', 'H', 'F', 'C']","['F', 'F']",[],-162.49,1,-162.49,,
5_aromatics_16,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['O', 'O', 'C', 'F', 'F', 'C']","['H', 'F', 'F']",[],-138.87,1,-138.87,,
7_aromatics_16,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['O', 'O', 'F', 'F']",['H'],-161.22,1,-161.22,,
9_aromatics_16,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']","['O', 'O', 'O', 'O']",-150.09,1,-150.09,,
11_aromatics_16,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'O', 'O', 'F']",['H'],-161.22,1,-161.22,,
13_aromatics_16,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'O', 'O', 'F', 'C']","['F', 'H', 'F']",[],-138.87,1,-138.87,,
0_aromatics_17,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'F']",[],-138.56,1,-138.56,,
4_aromatics_17,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['F', 'C', 'F', 'C']","['F', 'F']",[],-138.56,1,-138.56,,
6_aromatics_17,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-162.05,1,-162.05,,
8_aromatics_17,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['H', 'H']",[],-153.68,1,-153.68,,
10_aromatics_17,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'H']","['F', 'F']",[],-162.05,1,-162.05,,
3_aromatics_18,['C'],"['C', 'C']","['O', 'C', 'F', 'C']","['H', 'C', 'F', 'F', 'C']","['F', 'F']",[],-163.05,1,-163.05,,
5_aromatics_18,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['O', 'C', 'F', 'C']","['H', 'F', 'F']",[],-165.02,1,-165.02,,
7_aromatics_18,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['O', 'O']","['H', 'H']",-169.87,1,-169.87,,
9_aromatics_18,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'O', 'C']","['F', 'H', 'F']",[],-165.02,1,-165.02,,
11_aromatics_18,['C'],"['C', 'C']","['C', 'F', 'O', 'C']","['C', 'F', 'H', 'F', 'C']","['F', 'F']",[],-163.5,1,-163.5,,
0_aromatics_19,['C'],"['C', 'C']","['F', 'C', 'C', 'F']","['F', 'C', 'C', 'F']","['C', 'C']","['C', 'C', 'C', 'C']",-150,1,-150,,
3_aromatics_19,['C'],"['C', 'C']","['F', 'C', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'C', 'C', 'F']","['F', 'C', 'C', 'F']",-160.53,1,-160.53,,
5_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['F', 'C', 'C', 'C', 'F', 'C']","['F', 'F', 'C', 'C', 'F', 'F']","['F', 'C', 'C', 'F']",-137.57,1,-137.57,,
9_aromatics_19,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'C', 'C', 'F', 'F', 'C']","['C', 'F', 'F', 'C', 'F', 'F']","['C', 'F', 'F', 'C']",-137.57,1,-137.57,,
11_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['C', 'C', 'F', 'F']","['C', 'F', 'F', 'C']",-160.53,1,-160.53,,
13_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']","['C', 'C', 'C', 'C']",-150,1,-150,,
