,actual,prediction,diff
4_COOH_29,-120.1,-120.18575,0.08575286865234943
5_COOH_29,-120.1,-120.239784,0.13978424072266193
7_COOH_29,-122.8,-122.31864,0.4813583374023409
8_COOH_29,-122.8,-122.836876,0.03687591552734659
10_COOH_29,-122.8,-123.7035,0.9034988403320341
11_COOH_29,-122.8,-122.321495,0.4785049438476534
13_COOH_29,-122.8,-122.37477,0.42522888183593466
14_COOH_29,-122.8,-122.27932,0.5206802368164034
16_COOH_29,-122.8,-122.56387,0.23612670898437216
17_COOH_29,-122.8,-121.52666,1.2733428955078097
19_COOH_29,-123.73,-122.97783,0.7521710205078165
20_COOH_29,-123.73,-122.45306,1.2769436645507852
22_COOH_29,-124.01,-123.40925,0.6007516479492239
23_COOH_29,-124.01,-123.42846,0.5815408325195364
25_COOH_29,-127.27,-125.0904,2.1795993041992148
26_COOH_29,-127.27,-125.585396,1.6846041870117148
28_COOH_29,-82.36,-82.083916,0.2760842895507807
29_COOH_29,-82.36,-82.35372,0.0062783813476556816
30_COOH_29,-82.36,-82.30525,0.05474792480468693
7_From_Review_233,-107.5,-106.576164,0.9238357543945312
8_From_Review_233,-107.5,-109.471886,1.9718856811523438
3_olefins_1,-114.2,-114.384544,0.1845443725585909
4_olefins_1,-114.2,-114.567184,0.36718444824218466
6_olefins_1,-124.63,-124.46447,0.1655300903320267
7_olefins_1,-124.63,-124.43459,0.1954067993164017
9_olefins_1,-125.9,-126.84836,0.9483581542968693
10_olefins_1,-125.9,-126.85981,0.9598098754882756
12_olefins_1,-81.28,-82.27053,0.9905307006835926
13_olefins_1,-81.28,-82.64779,1.3677890014648426
14_olefins_1,-81.28,-82.61065,1.3306491088867176
0_Cl_4,-79.65,-82.51313,2.8631301879882756
2_Cl_4,-79.65,-81.99967,2.3496719360351506
3_Cl_4,-79.65,-82.07381,2.423806762695307
5_Cl_4,-120.25,-123.632835,3.3828353881835938
6_Cl_4,-120.25,-123.68983,3.4398269653320312
0_I_2,-81.08,-81.43674,0.3567370605468767
2_I_2,-81.08,-80.9632,0.11679656982421704
3_I_2,-81.08,-80.98297,0.0970288085937483
5_I_2,-126.3,-124.82889,1.4711120605468722
6_I_2,-126.3,-124.76909,1.5309112548828097
8_I_2,-122.88,-122.29297,0.5870312499999955
9_I_2,-122.88,-122.25694,0.623057250976558
11_I_2,-121.26,-120.16475,1.0952508544921926
12_I_2,-121.26,-120.12163,1.1383721923828176
14_I_2,-113.33,-117.5007,4.170701904296877
15_I_2,-113.33,-117.433716,4.103715820312502
17_I_2,-59.96,-63.666412,3.706412353515624
18_I_2,-59.96,-58.58435,1.3756494140625009
5_From_Review_392,-123.1,-116.29868,6.801316833496088
6_From_Review_392,-123.1,-119.30833,3.791673278808588
8_From_Review_392,-206.0,-213.17104,7.1710357666015625
10_From_Review_392,-73.0,-75.612656,2.6126556396484375
11_From_Review_392,-73.0,-74.529945,1.5299453735351562
12_From_Review_392,-73.0,-74.305115,1.30511474609375
5_SO3H_2,-115.25,-116.80383,1.5538330078125
6_SO3H_2,-115.25,-114.10478,1.1452178955078125
8_SO3H_2,-124.91,-125.631966,0.7219656372070347
9_SO3H_2,-124.91,-125.69854,0.7885397338867222
11_SO3H_2,-80.6,-82.29016,1.6901611328125057
12_SO3H_2,-80.6,-81.71111,1.1111129760742244
13_SO3H_2,-80.6,-81.8314,1.231398010253912
5_ether_21,-119.58,-93.39547,26.184530334472655
6_ether_21,-119.58,-116.47318,3.106817321777342
8_ether_21,-89.7,-85.21108,4.488917541503909
9_ether_21,-89.7,-78.19067,11.509333801269534
12_ether_21,-88.34,-86.61993,1.7200735473632847
13_ether_21,-88.34,-91.80297,3.4629708862304653
15_ether_21,-83.72,-82.51151,1.2084872436523426
16_ether_21,-83.72,-81.184395,2.5356051635742176
17_ether_21,-83.72,-82.78625,0.9337527465820301
5_SO3H_1,-118.91,-115.396866,3.513134155273434
6_SO3H_1,-118.91,-115.489456,3.420543823242184
8_SO3H_1,-80.51,-82.41056,1.9005606079101511
9_SO3H_1,-80.51,-82.612854,2.102854003906245
10_SO3H_1,-80.51,-82.02769,1.5176870727539011
12_From_Review_292,-60.0,-63.751976,3.7519760131835938
13_From_Review_292,-60.0,-64.344154,4.344154357910156
14_From_Review_292,-60.0,-63.91667,3.9166717529296875
5_SO3H_18,-116.03,-114.60374,1.4262631225585949
6_SO3H_18,-116.03,-114.63337,1.3966305541992199
8_SO3H_18,-123.28,-122.108345,1.1716549682617199
9_SO3H_18,-123.28,-122.10557,1.1744320678710949
11_SO3H_18,-127.39,-125.79133,1.5986715698242193
12_SO3H_18,-127.39,-125.69716,1.692841186523438
14_SO3H_18,-82.3,-81.92327,0.3767288208007784
15_SO3H_18,-82.3,-82.00938,0.2906234741210909
16_SO3H_18,-82.3,-81.98307,0.3169296264648409
5_SO3H_19,-115.74,-116.999596,1.2595956420898489
6_SO3H_19,-115.74,-86.21263,29.527368774414057
8_SO3H_19,-121.94,-115.19091,6.749089660644529
9_SO3H_19,-121.94,-117.0569,4.883099975585935
11_SO3H_19,-123.7,-115.53032,8.169680786132815
12_SO3H_19,-123.7,-115.355606,8.34439392089844
14_SO3H_19,-127.39,-124.89689,2.4931112670898443
15_SO3H_19,-127.39,-124.90441,2.485588684082032
17_SO3H_19,-82.49,-84.087364,1.5973641967773489
18_SO3H_19,-82.49,-83.674126,1.1841256713867239
19_SO3H_19,-82.49,-84.97444,2.4844415283203176
7_other_10,-116.42,-115.25684,1.1631564331054705
8_other_10,-116.42,-117.100555,0.6805554199218733
10_other_10,-122.93,-122.63778,0.29222076416016307
11_other_10,-122.93,-121.44486,1.4851376342773506
13_other_10,-123.9,-122.15371,1.746290588378912
14_other_10,-123.9,-122.85059,1.0494064331054744
16_other_10,-124.51,-123.35467,1.1553323364257864
17_other_10,-124.51,-123.653336,0.8566644287109426
19_other_10,-127.34,-125.78698,1.5530203247070347
20_other_10,-127.34,-125.00201,2.3379934692382847
22_other_10,-82.43,-82.225044,0.20495574951172557
23_other_10,-82.43,-82.18297,0.24703186035156932
24_other_10,-82.43,-83.55948,1.1294787597656182
0_I_8,-81.21,-81.922554,0.7125540161132875
2_I_8,-81.21,-81.485176,0.2751760864257875
3_I_8,-81.21,-81.53291,0.32291320800781875
5_I_8,-126.12,-125.23966,0.8803378295898483
6_I_8,-126.12,-125.21788,0.902119750976567
8_I_8,-124.44,-121.54192,2.898076477050779
9_I_8,-124.44,-121.24857,3.1914266967773415
11_I_8,-115.23,-108.72333,6.506672363281254
12_I_8,-115.23,-114.633484,0.596516113281254
0_From_Review_430,-81.1,-82.34885,1.2488464355468807
2_From_Review_430,-81.1,-81.05955,0.040452575683588066
3_From_Review_430,-81.1,-80.56554,0.5344635009765568
5_From_Review_430,-126.1,-124.96701,1.1329895019531193
6_From_Review_430,-126.1,-124.70388,1.3961196899414006
8_From_Review_430,-122.5,-123.34508,0.8450775146484375
9_From_Review_430,-122.5,-122.98648,0.486480712890625
11_From_Review_430,-121.7,-122.34678,0.6467788696289034
12_From_Review_430,-121.7,-122.79102,1.0910232543945284
14_From_Review_430,-121.7,-122.749275,1.0492752075195284
15_From_Review_430,-121.7,-122.15956,0.45956115722655966
17_From_Review_430,-122.5,-123.71133,1.2113265991210938
18_From_Review_430,-122.5,-123.43614,0.9361419677734375
20_From_Review_430,-126.1,-126.03877,0.061227416992181816
21_From_Review_430,-126.1,-124.964516,1.135484313964838
23_From_Review_430,-81.1,-81.80305,0.7030471801757869
24_From_Review_430,-81.1,-81.64518,0.5451797485351619
25_From_Review_430,-81.1,-81.80364,0.7036422729492244
4_From_Review_228,-92.0,-85.79255,6.207450866699219
5_From_Review_228,-92.0,-86.03767,5.962333679199219
2_From_Review_222,-100.0,-103.59293,3.5929336547851562
3_From_Review_222,-100.0,-103.891106,3.8911056518554688
8_From_Review_336,-84.0,-82.83468,1.1653213500976562
9_From_Review_336,-84.0,-80.86048,3.1395187377929688
10_From_Review_336,-84.0,-83.36509,0.6349105834960938
5_From_Review_381,-117.0,-114.06295,2.9370498657226562
6_From_Review_381,-117.0,-113.63322,3.3667831420898438
8_From_Review_381,-136.0,-133.12604,2.87396240234375
9_From_Review_381,-136.0,-137.19954,1.1995391845703125
4_From_Review_316,-66.0,-68.09167,2.0916671752929688
5_From_Review_316,-66.0,-68.13029,2.1302871704101562
6_From_Review_316,-66.0,-68.03448,2.0344772338867188
