,0,1,2,3,4,5,NMR_Peaks
4_COOH_1,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'F']",['H'],[],[],-122.45
4_COOH_2,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",[],[],-119.78
4_COOH_3,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'F']",[],-119.41
4_COOH_4,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'F']",-119.23
4_COOH_5,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.14
4_COOH_6,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.16
4_COOH_7,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.15
4_COOH_8,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.17
4_COOH_9,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.15
4_COOH_10,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['O', 'O']",-119.44
13_COOH_10,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']","['C', 'F', 'F']","['O', 'O']",-119.44
11_COOH_11,['C'],"['C', 'C', 'F']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']","['C', 'F', 'F']","['C', 'F', 'F']",-123.11
4_COOH_12,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.21
22_COOH_12,['C'],"['C', 'F', 'C']","['C', 'F', 'F', 'O', 'O']","['C', 'F', 'F', 'H']","['C', 'F', 'F']","['C', 'F', 'F']",-119.21
4_COOH_20,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.21
4_COOH_21,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.17
4_COOH_22,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-119.17
5_other_6,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['C', 'F', 'F', 'F']","['H', 'H', 'H']",[],-119.44
5_other_7,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['H', 'H', 'H', 'F', 'F', 'C']","['F', 'F', 'F']",-118.54
4_ether_12,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'O']",['C'],"['F', 'F', 'F']",-119.9
4_ether_14,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'O']",['C'],"['F', 'C', 'C']",-119.6
4_COOH_23,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'F']",['H'],[],[],-123.42
4_COOH_24,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'F']",[],-120.48
4_COOH_25,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'F']",-120.23
4_COOH_26,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-120.19
4_COOH_27,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-120.17
4_COOH_28,['C'],"['C', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']",-120.1
