,0,1,2,3,4,5,NMR_Peaks
10_aromatics_1,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'N', 'C']","['C', 'H', 'O', 'O', 'C', 'H']","['H', 'H']",-60.02
5_aromatics_2,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['N', 'C', 'C', 'C']","['H', 'H', 'H', 'F', 'F', 'F', 'H']",-63.52
11_aromatics_2,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'N', 'C']","['H', 'F', 'F', 'F', 'H', 'H', 'H']",-63.52
6_aromatics_3,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['N', 'C', 'C', 'C']","['N', 'H', 'H', 'F', 'F', 'F', 'H']",-63.42
12_aromatics_3,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'N', 'C']","['H', 'F', 'F', 'F', 'N', 'H', 'H']",-63.42
7_aromatics_4,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'N', 'C']","['H', 'H', 'H', 'H']",-62.87
6_aromatics_5,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['N', 'N']",-61.33
0_aromatics_7,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['Cl', 'Cl']",-62.58
7_aromatics_9,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'O', 'C']","['H', 'H', 'H']",-63.84
10_aromatics_10,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'O', 'O', 'C', 'H']","['H', 'H', 'H']",-59.38
8_aromatics_11,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['C', 'C']",-63.19
0_From_Review_8,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-63.0
10_From_Review_350,['C'],"['C', 'F', 'F']","['C', 'C']","['H', 'H', 'C', 'H', 'H']","['C', 'H', 'H']","['C', 'H', 'H']",-70.0
3_From_Review_356,['C'],"['C', 'F', 'F']","['C', 'C']","['H', 'H', 'F', 'F', 'F']",[],[],-65.7
11_From_Review_362,['C'],"['C', 'F', 'F']","['C', 'C']","['H', 'H', 'O', 'C']","['C', 'C']","['C', 'H', 'C', 'H']",-64.0
12_From_Review_363,['C'],"['C', 'F', 'F']","['C', 'C']","['H', 'H', 'O', 'C']","['C', 'H', 'H']","['C', 'H', 'H']",-64.0
0_From_Review_367,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'C', 'H', 'F', 'F', 'F']","['H', 'H']",-59.6
11_From_Review_367,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'F', 'F', 'F', 'C', 'H']","['H', 'H']",-59.6
0_From_Review_368,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'C']","['H', 'H', 'F', 'F', 'F']",-63.3
10_From_Review_368,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'C']","['H', 'F', 'F', 'F', 'H']",-63.3
0_From_Review_369,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['C', 'C']",-63.5
9_From_Review_369,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['C', 'C']",-63.5
0_From_Review_370,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'C']","['C', 'C', 'F', 'F', 'F']",-63.8
9_From_Review_370,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'F', 'F', 'F', 'C', 'H']","['C', 'C']",-60.0
14_From_Review_370,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'H']","['C', 'H', 'F', 'F', 'F', 'C', 'C']","['H', 'F', 'F', 'F', 'H']",-60.0
0_From_Review_371,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'C', 'C', 'F', 'F', 'F']","['H', 'H', 'F', 'F', 'F']",-58.0
10_From_Review_371,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'C']","['C', 'H', 'F', 'F', 'F', 'C', 'C']","['H', 'F', 'F', 'F', 'H']",-58.0
15_From_Review_371,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'H', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'H']","['H', 'H']",-55.0
0_From_Review_372,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'C', 'C']","['F', 'F', 'F', 'H', 'H', 'F', 'F', 'F']",-63.4
8_From_Review_372,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'C', 'C']","['F', 'F', 'F', 'H', 'F', 'F', 'F', 'H']",-63.4
14_From_Review_372,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'C', 'C']","['H', 'F', 'F', 'F', 'F', 'F', 'F', 'H']",-63.4
0_From_Review_373,['C'],"['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'C', 'C', 'C']","['F', 'F', 'F', 'C', 'C', 'F', 'F', 'F']",-63.9
