,actual,prediction,diff
0_From_Review_24,-208.0,-208.49937,0.4993743896484375
6_From_Review_97,-133.0,-129.913,3.087005615234375
7_From_Review_93,-173.0,-172.28691,0.7130889892578125
0_ethers_1,-87.11,-85.45805,1.651946411132812
2_ethers_1,-87.11,-85.45805,1.651946411132812
7_ethers_1,-80.26,-78.64465,1.6153466796875051
8_ethers_1,-80.26,-78.64465,1.6153466796875051
9_ethers_1,-80.26,-78.64465,1.6153466796875051
4_From_Review_138,-118.0,-115.19306,2.8069381713867188
7_From_Review_333,-65.0,-64.69935,0.30065155029296875
8_From_Review_333,-65.0,-64.69935,0.30065155029296875
9_From_Review_333,-65.0,-64.69935,0.30065155029296875
4_COOH_32,-120.11,-120.303345,0.19334472656250057
5_COOH_32,-120.11,-120.303345,0.19334472656250057
7_COOH_32,-122.64,-122.839386,0.19938598632812443
8_COOH_32,-122.64,-122.839386,0.19938598632812443
10_COOH_32,-122.64,-123.06789,0.42788635253906193
11_COOH_32,-122.64,-123.06789,0.42788635253906193
13_COOH_32,-122.64,-122.27594,0.36406005859375057
14_COOH_32,-122.64,-122.27594,0.36406005859375057
16_COOH_32,-122.64,-122.541794,0.09820617675781307
17_COOH_32,-122.64,-122.541794,0.09820617675781307
19_COOH_32,-122.64,-122.541794,0.09820617675781307
20_COOH_32,-122.64,-122.541794,0.09820617675781307
22_COOH_32,-122.64,-122.541794,0.09820617675781307
23_COOH_32,-122.64,-122.541794,0.09820617675781307
25_COOH_32,-122.64,-122.541794,0.09820617675781307
26_COOH_32,-122.64,-122.541794,0.09820617675781307
28_COOH_32,-121.72,-122.541794,0.8217938232421886
29_COOH_32,-121.72,-122.541794,0.8217938232421886
31_COOH_32,-122.58,-122.541794,0.038206176757810795
32_COOH_32,-122.58,-122.541794,0.038206176757810795
34_COOH_32,-122.93,-123.57344,0.6434405517578057
35_COOH_32,-122.93,-123.57344,0.6434405517578057
37_COOH_32,-126.15,-126.33941,0.18940887451171307
38_COOH_32,-126.15,-126.33941,0.18940887451171307
40_COOH_32,-81.25,-81.17294,0.077056884765625
41_COOH_32,-81.25,-81.17294,0.077056884765625
42_COOH_32,-81.25,-81.17294,0.077056884765625
6_From_Review_22,-226.0,-220.48398,5.516021728515625
6_From_Review_90,-194.0,-193.58319,0.41680908203125
4_ethers_7,-91.59,-92.54826,0.9582635498046841
5_ethers_7,-91.59,-92.54826,0.9582635498046841
7_ethers_7,-136.88,-136.49734,0.38265502929687045
8_ethers_7,-136.88,-136.49734,0.38265502929687045
3_From_Review_54,-108.0,-107.93027,0.069732666015625
7_From_Review_36,-172.0,-172.1462,0.1461944580078125
5_From_Review_230,-83.0,-83.17508,0.175079345703125
6_From_Review_230,-83.0,-83.17508,0.175079345703125
0_From_Review_1,-220.0,-220.3965,0.3964996337890625
6_From_Review_272,-68.0,-66.566376,1.433624267578125
7_From_Review_272,-68.0,-66.566376,1.433624267578125
8_From_Review_272,-68.0,-66.566376,1.433624267578125
4_COOH_9,-119.15,-120.303345,1.1533447265624943
5_COOH_9,-119.15,-120.303345,1.1533447265624943
7_COOH_9,-121.74,-122.839386,1.0993859863281301
8_COOH_9,-121.74,-122.839386,1.0993859863281301
10_COOH_9,-121.74,-123.06789,1.3278863525390676
11_COOH_9,-121.74,-123.06789,1.3278863525390676
13_COOH_9,-121.74,-122.27594,0.5359399414062551
14_COOH_9,-121.74,-122.27594,0.5359399414062551
16_COOH_9,-121.74,-122.541794,0.8017938232421926
17_COOH_9,-121.74,-122.541794,0.8017938232421926
19_COOH_9,-121.74,-122.541794,0.8017938232421926
20_COOH_9,-121.74,-122.541794,0.8017938232421926
22_COOH_9,-121.74,-122.541794,0.8017938232421926
23_COOH_9,-121.74,-122.541794,0.8017938232421926
25_COOH_9,-121.74,-122.541794,0.8017938232421926
26_COOH_9,-121.74,-122.541794,0.8017938232421926
28_COOH_9,-121.74,-122.541794,0.8017938232421926
29_COOH_9,-121.74,-122.541794,0.8017938232421926
31_COOH_9,-122.81,-122.541794,0.2682061767578148
32_COOH_9,-122.81,-122.541794,0.2682061767578148
34_COOH_9,-122.98,-123.57344,0.5934405517578085
35_COOH_9,-122.98,-123.57344,0.5934405517578085
37_COOH_9,-126.22,-126.33941,0.11940887451171989
38_COOH_9,-126.22,-126.33941,0.11940887451171989
40_COOH_9,-80.93,-81.17294,0.24294311523436818
41_COOH_9,-80.93,-81.17294,0.24294311523436818
42_COOH_9,-80.93,-81.17294,0.24294311523436818
8_From_Review_423,-127.0,-127.43571,0.43570709228515625
9_From_Review_423,-127.0,-127.43571,0.43570709228515625
0_alkanes_3,-80.72,-80.64087,0.07913085937499886
2_alkanes_3,-80.72,-80.64087,0.07913085937499886
3_alkanes_3,-80.72,-80.64087,0.07913085937499886
5_alkanes_3,-126.06,-126.152725,0.09272521972656023
6_alkanes_3,-126.06,-126.152725,0.09272521972656023
8_alkanes_3,-122.63,-123.55646,0.9264575195312545
9_alkanes_3,-122.63,-123.55646,0.9264575195312545
11_alkanes_3,-121.81,-122.4233,0.6133016967773415
12_alkanes_3,-121.81,-122.4233,0.6133016967773415
14_alkanes_3,-121.7,-122.541794,0.8417938232421847
15_alkanes_3,-121.7,-122.541794,0.8417938232421847
17_alkanes_3,-121.81,-122.541794,0.7317938232421852
18_alkanes_3,-121.81,-122.541794,0.7317938232421852
20_alkanes_3,-122.63,-123.57344,0.943440551757817
21_alkanes_3,-122.63,-123.57344,0.943440551757817
23_alkanes_3,-126.06,-126.33941,0.2794088745117165
24_alkanes_3,-126.06,-126.33941,0.2794088745117165
26_alkanes_3,-80.72,-81.17294,0.45294311523437614
27_alkanes_3,-80.72,-81.17294,0.45294311523437614
28_alkanes_3,-80.72,-81.17294,0.45294311523437614
5_From_Review_307,-64.8,-64.54517,0.2548263549804659
6_From_Review_307,-64.8,-64.54517,0.2548263549804659
7_From_Review_307,-64.8,-64.54517,0.2548263549804659
4_From_Review_76,-183.0,-182.89519,0.1048126220703125
9_From_Review_182,-121.3,-121.71388,0.41388244628906534
0_From_Review_480,-171.0,-161.75427,9.2457275390625
5_From_Review_480,-122.0,-139.1603,17.160293579101562
7_From_Review_480,-195.0,-190.54506,4.4549407958984375
13_From_Review_169,-112.0,-114.42402,2.4240188598632812
11_other_14,-114.0,-115.43596,1.4359588623046875
12_other_14,-114.0,-115.43596,1.4359588623046875
14_other_14,-121.29,-121.17131,0.11868957519531875
15_other_14,-121.29,-121.17131,0.11868957519531875
17_other_14,-122.58,-122.48723,0.0927716064453108
18_other_14,-122.58,-122.48723,0.0927716064453108
20_other_14,-122.73,-122.70633,0.02367065429687898
21_other_14,-122.73,-122.70633,0.02367065429687898
23_other_14,-122.89,-122.541794,0.34820617675781307
24_other_14,-122.89,-122.541794,0.34820617675781307
26_other_14,-123.71,-123.57344,0.13655944824218125
27_other_14,-123.71,-123.57344,0.13655944824218125
29_other_14,-127.26,-126.33941,0.9205911254882864
30_other_14,-127.26,-126.33941,0.9205911254882864
32_other_14,-82.37,-81.17294,1.1970568847656295
33_other_14,-82.37,-81.17294,1.1970568847656295
34_other_14,-82.37,-81.17294,1.1970568847656295
3_From_Review_26,-165.0,-161.88274,3.1172637939453125
0_From_Review_455,-138.0,-137.04504,0.9549560546875
3_From_Review_455,-139.0,-136.8282,2.1717987060546875
6_From_Review_455,-55.0,-55.223076,0.22307586669921875
7_From_Review_455,-55.0,-55.223076,0.22307586669921875
8_From_Review_455,-55.0,-55.223076,0.22307586669921875
10_From_Review_455,-139.0,-128.26201,10.737991333007812
