,actual,prediction,diff
4_From_Review_316,-66.0,-67.07884792666182,1.0788479266618225
5_From_Review_316,-66.0,-67.07884792666182,1.0788479266618225
6_From_Review_316,-66.0,-67.07884792666182,1.0788479266618225
7_SO3H_25,-115.13,-112.2229972726008,2.9070027273992025
8_SO3H_25,-115.13,-112.2229972726008,2.9070027273992025
10_SO3H_25,-122.92,-122.62759211243346,0.2924078875665401
11_SO3H_25,-122.92,-122.62759211243346,0.2924078875665401
13_SO3H_25,-123.9,-122.42355630693395,1.4764436930660594
14_SO3H_25,-123.9,-122.42355630693395,1.4764436930660594
16_SO3H_25,-124.56,-123.8100015619775,0.7499984380225015
17_SO3H_25,-124.56,-123.8100015619775,0.7499984380225015
19_SO3H_25,-127.34,-126.78583345236709,0.5541665476329172
20_SO3H_25,-127.34,-126.78583345236709,0.5541665476329172
22_SO3H_25,-82.43,-80.92748439937824,1.5025156006217628
23_SO3H_25,-82.43,-80.92748439937824,1.5025156006217628
24_SO3H_25,-82.43,-80.92748439937824,1.5025156006217628
5_From_Review_84,-174.0,-174.74932533978748,0.7493253397874753
5_From_Review_323,-63.0,-70.28907952648402,7.2890795264840165
6_From_Review_323,-63.0,-70.28907952648402,7.2890795264840165
7_From_Review_323,-63.0,-70.28907952648402,7.2890795264840165
8_From_Review_70,-69.0,-66.13068205685141,2.8693179431485873
0_aromatics_12,-119.85,-131.42796317143427,11.577963171434277
5_aromatics_12,-119.85,-131.42796317143427,11.577963171434277
3_From_Review_25,-189.0,-192.66599017936363,3.6659901793636323
5_From_Review_137,-106.0,-125.45553214460399,19.455532144603993
9_From_Review_237,-124.0,-137.9874651201177,13.98746512011769
10_From_Review_237,-124.0,-137.9874651201177,13.98746512011769
4_Short_4,-75.0,-73.32039799291722,1.679602007082778
5_Short_4,-75.0,-73.32039799291722,1.679602007082778
6_Short_4,-75.0,-73.32039799291722,1.679602007082778
4_COOH_27,-120.17,-119.29356213701766,0.8764378629823426
5_COOH_27,-120.17,-119.29356213701766,0.8764378629823426
7_COOH_27,-122.72,-122.26365660438077,0.45634339561922843
8_COOH_27,-122.72,-122.26365660438077,0.45634339561922843
10_COOH_27,-123.07,-121.93308141539165,1.1369185846083383
11_COOH_27,-123.07,-121.93308141539165,1.1369185846083383
13_COOH_27,-123.8,-123.08863560474674,0.7113643952532556
14_COOH_27,-123.8,-123.08863560474674,0.7113643952532556
16_COOH_27,-124.07,-122.94755591752619,1.1224440824738053
17_COOH_27,-124.07,-122.94755591752619,1.1224440824738053
19_COOH_27,-127.31,-126.78583345236709,0.524166547632916
20_COOH_27,-127.31,-126.78583345236709,0.524166547632916
22_COOH_27,-82.39,-80.92748439937824,1.4625156006217566
23_COOH_27,-82.39,-80.92748439937824,1.4625156006217566
24_COOH_27,-82.39,-80.92748439937824,1.4625156006217566
4_From_Review_71,-158.0,-120.8014956817643,37.198504318235706
5_COOH_19,-108.98,-151.46904741407968,42.48904741407968
7_COOH_19,-118.82,-120.96111242363698,2.141112423636983
8_COOH_19,-118.82,-120.96111242363698,2.141112423636983
10_COOH_19,-121.88,-121.93628805756322,0.05628805756322208
11_COOH_19,-121.88,-121.93628805756322,0.05628805756322208
13_COOH_19,-121.88,-121.529929167066,0.3500708329339943
14_COOH_19,-121.88,-121.529929167066,0.3500708329339943
16_COOH_19,-121.88,-123.08863560474674,1.2086356047467461
17_COOH_19,-121.88,-123.08863560474674,1.2086356047467461
19_COOH_19,-121.88,-122.94206568310574,1.0620656831057431
20_COOH_19,-121.88,-122.94206568310574,1.0620656831057431
22_COOH_19,-122.79,-122.94206568310574,0.15206568310573232
23_COOH_19,-122.79,-122.94206568310574,0.15206568310573232
25_COOH_19,-122.79,-122.94755591752619,0.1575559175261816
26_COOH_19,-122.79,-122.94755591752619,0.1575559175261816
28_COOH_19,-126.24,-126.78583345236709,0.5458334523670914
29_COOH_19,-126.24,-126.78583345236709,0.5458334523670914
31_COOH_19,-80.95,-80.92748439937824,0.022515600621758836
32_COOH_19,-80.95,-80.92748439937824,0.022515600621758836
33_COOH_19,-80.95,-80.92748439937824,0.022515600621758836
