,actual,prediction,diff
3_ethers_9,-125.54,-88.68146236259066,36.85853763740934
4_ethers_9,-125.54,-87.27736281871417,38.26263718128584
6_ethers_9,-140.01,-146.5057722176501,6.495772217650114
7_ethers_9,-140.01,-146.08042107931377,6.070421079313775
12_From_Review_301,-74.0,-77.08216525629962,3.082165256299618
13_From_Review_301,-74.0,-72.15464343170481,1.8453565682951876
14_From_Review_301,-74.0,-76.59317339880391,2.5931733988039127
0_alkanes_2,-80.73,-80.65897380372067,0.07102619627933393
2_alkanes_2,-80.73,-82.24673204670358,1.5167320467035807
3_alkanes_2,-80.73,-81.22592085150278,0.495920851502774
5_alkanes_2,-126.06,-131.2790086362317,5.219008636231706
6_alkanes_2,-126.06,-127.47353389722969,1.4135338972296836
8_alkanes_2,-122.65,-125.06991552782185,2.4199155278218427
9_alkanes_2,-122.65,-123.88820103369774,1.2382010336977345
11_alkanes_2,-121.88,-122.85429416801094,0.9742941680109425
12_alkanes_2,-121.88,-119.97897621026432,1.9010237897356745
14_alkanes_2,-121.88,-120.77830405980174,1.1016959401982547
15_alkanes_2,-121.88,-122.86307071608077,0.9830707160807748
17_alkanes_2,-122.65,-123.53446184747487,0.8844618474748671
18_alkanes_2,-122.65,-122.53012960377875,0.11987039622125906
20_alkanes_2,-126.06,-127.45219257755862,1.3921925775586175
21_alkanes_2,-126.06,-125.8263282054063,0.2336717945937039
23_alkanes_2,-80.73,-79.63775545526482,1.0922445447351805
24_alkanes_2,-80.73,-78.01763186855092,2.7123681314490824
25_alkanes_2,-80.73,-79.52618138508359,1.2038186149164147
0_From_Review_443,-113.0,-100.0567587339506,12.943241266049398
2_From_Review_443,-88.0,-79.07754606835378,8.922453931646217
4_From_Review_443,-150.0,-107.6854580658946,42.31454193410541
3_From_Review_407,-186.0,-188.25913210090755,2.25913210090755
5_From_Review_407,-77.0,-75.07936712847109,1.920632871528909
6_From_Review_407,-77.0,-74.920982172638,2.0790178273619944
7_From_Review_407,-77.0,-74.3591842319637,2.6408157680363047
9_From_Review_407,-77.0,-74.87373113291966,2.1262688670803414
10_From_Review_407,-77.0,-75.27757781053614,1.722422189463856
11_From_Review_407,-77.0,-75.2808661168475,1.7191338831524945
5_SO3H_12,-111.92,-101.86903239220602,10.050967607793979
6_SO3H_12,-111.92,-106.3943633458477,5.525636654152308
8_SO3H_12,-119.86,-120.29992339403145,0.4399233940314531
9_SO3H_12,-119.86,-121.99657616230998,2.1365761623099786
11_SO3H_12,-121.7,-120.4813023888768,1.2186976111232042
12_SO3H_12,-121.7,-118.54507485382258,3.154925146177419
14_SO3H_12,-122.67,-123.18117367723634,0.5111736772363429
15_SO3H_12,-122.67,-122.62347747858297,0.046522521417031726
17_SO3H_12,-126.08,-128.44120207166515,2.361202071665147
18_SO3H_12,-126.08,-126.26219373483372,0.18219373483371726
20_SO3H_12,-80.74,-78.67361124058019,2.0663887594198087
21_SO3H_12,-80.74,-79.71938182100124,1.0206181789987596
22_SO3H_12,-80.74,-78.77519887824141,1.9648011217585832
5_From_Review_293,-58.0,-53.994773894165014,4.005226105834986
