,actual,prediction,diff
0_From_Review_24,-208.0,-213.45703,5.45703125
6_From_Review_97,-133.0,-141.24199,8.241989135742188
7_From_Review_93,-173.0,-170.52776,2.4722442626953125
0_ethers_1,-87.11,-88.34053,1.230530395507813
2_ethers_1,-87.11,-88.34053,1.230530395507813
7_ethers_1,-80.26,-80.02867,0.23132873535156762
8_ethers_1,-80.26,-80.02867,0.23132873535156762
9_ethers_1,-80.26,-80.02867,0.23132873535156762
4_From_Review_138,-118.0,-113.22681,4.773193359375
7_From_Review_333,-65.0,-62.666023,2.3339767456054688
8_From_Review_333,-65.0,-62.666023,2.3339767456054688
9_From_Review_333,-65.0,-62.666023,2.3339767456054688
4_COOH_32,-120.11,-119.57432,0.5356820678710932
5_COOH_32,-120.11,-119.57432,0.5356820678710932
7_COOH_32,-122.64,-122.40083,0.23916687011718807
8_COOH_32,-122.64,-122.40083,0.23916687011718807
10_COOH_32,-122.64,-122.50487,0.13513244628906307
11_COOH_32,-122.64,-122.50487,0.13513244628906307
13_COOH_32,-122.64,-122.50487,0.13513244628906307
14_COOH_32,-122.64,-122.50487,0.13513244628906307
16_COOH_32,-122.64,-122.50487,0.13513244628906307
17_COOH_32,-122.64,-122.50487,0.13513244628906307
19_COOH_32,-122.64,-122.50487,0.13513244628906307
20_COOH_32,-122.64,-122.50487,0.13513244628906307
22_COOH_32,-122.64,-122.50487,0.13513244628906307
23_COOH_32,-122.64,-122.50487,0.13513244628906307
25_COOH_32,-122.64,-122.50487,0.13513244628906307
26_COOH_32,-122.64,-122.50487,0.13513244628906307
28_COOH_32,-121.72,-122.50487,0.7848675537109386
29_COOH_32,-121.72,-122.50487,0.7848675537109386
31_COOH_32,-122.58,-122.50487,0.0751324462890608
32_COOH_32,-122.58,-122.50487,0.0751324462890608
34_COOH_32,-122.93,-123.115265,0.18526489257811818
35_COOH_32,-122.93,-123.115265,0.18526489257811818
37_COOH_32,-126.15,-125.89831,0.25169219970703693
38_COOH_32,-126.15,-125.89831,0.25169219970703693
40_COOH_32,-81.25,-81.644424,0.3944244384765625
41_COOH_32,-81.25,-81.644424,0.3944244384765625
42_COOH_32,-81.25,-81.644424,0.3944244384765625
6_From_Review_22,-226.0,-218.07394,7.926055908203125
6_From_Review_90,-194.0,-185.60883,8.39117431640625
4_ethers_7,-91.59,-107.66547,16.075466308593747
5_ethers_7,-91.59,-107.66547,16.075466308593747
7_ethers_7,-136.88,-139.1797,2.299702758789067
8_ethers_7,-136.88,-139.1797,2.299702758789067
3_From_Review_54,-108.0,-107.408806,0.5911941528320312
7_From_Review_36,-172.0,-165.0051,6.994903564453125
5_From_Review_230,-83.0,-81.85552,1.1444778442382812
6_From_Review_230,-83.0,-81.85552,1.1444778442382812
0_From_Review_1,-220.0,-215.73409,4.2659149169921875
6_From_Review_272,-68.0,-64.76227,3.23773193359375
7_From_Review_272,-68.0,-64.76227,3.23773193359375
8_From_Review_272,-68.0,-64.76227,3.23773193359375
4_COOH_9,-119.15,-119.57432,0.42431793212890057
5_COOH_9,-119.15,-119.57432,0.42431793212890057
7_COOH_9,-121.74,-122.40083,0.6608331298828176
8_COOH_9,-121.74,-122.40083,0.6608331298828176
10_COOH_9,-121.74,-122.50487,0.7648675537109426
11_COOH_9,-121.74,-122.50487,0.7648675537109426
13_COOH_9,-121.74,-122.50487,0.7648675537109426
14_COOH_9,-121.74,-122.50487,0.7648675537109426
16_COOH_9,-121.74,-122.50487,0.7648675537109426
17_COOH_9,-121.74,-122.50487,0.7648675537109426
19_COOH_9,-121.74,-122.50487,0.7648675537109426
20_COOH_9,-121.74,-122.50487,0.7648675537109426
22_COOH_9,-121.74,-122.50487,0.7648675537109426
23_COOH_9,-121.74,-122.50487,0.7648675537109426
25_COOH_9,-121.74,-122.50487,0.7648675537109426
26_COOH_9,-121.74,-122.50487,0.7648675537109426
28_COOH_9,-121.74,-122.50487,0.7648675537109426
29_COOH_9,-121.74,-122.50487,0.7648675537109426
31_COOH_9,-122.81,-122.50487,0.3051324462890648
32_COOH_9,-122.81,-122.50487,0.3051324462890648
34_COOH_9,-122.98,-123.115265,0.13526489257812102
35_COOH_9,-122.98,-123.115265,0.13526489257812102
37_COOH_9,-126.22,-125.89831,0.3216921997070301
38_COOH_9,-126.22,-125.89831,0.3216921997070301
40_COOH_9,-80.93,-81.644424,0.7144244384765557
41_COOH_9,-80.93,-81.644424,0.7144244384765557
42_COOH_9,-80.93,-81.644424,0.7144244384765557
8_From_Review_423,-127.0,-125.964294,1.03570556640625
9_From_Review_423,-127.0,-125.964294,1.03570556640625
