,actual,prediction,diff
0_From_Review_24,-208.0,-213.64363,5.6436309814453125
6_From_Review_97,-133.0,-132.46426,0.535736083984375
7_From_Review_93,-173.0,-176.0435,3.0435028076171875
0_ethers_1,-87.11,-88.56795,1.457947387695313
2_ethers_1,-87.11,-83.479454,3.6305459594726557
7_ethers_1,-80.26,-79.260025,0.9999749755859426
8_ethers_1,-80.26,-79.53954,0.7204568481445364
9_ethers_1,-80.26,-79.28382,0.9761788940429739
4_From_Review_138,-118.0,-109.91424,8.085762023925781
7_From_Review_333,-65.0,-67.62574,2.6257400512695312
8_From_Review_333,-65.0,-66.78171,1.781707763671875
9_From_Review_333,-65.0,-66.78171,1.781707763671875
4_COOH_32,-120.11,-119.72106,0.3889382934570307
5_COOH_32,-120.11,-119.401245,0.7087548828124994
7_COOH_32,-122.64,-122.65971,0.01971374511718693
8_COOH_32,-122.64,-122.65971,0.01971374511718693
10_COOH_32,-122.64,-122.19432,0.44567932128906307
11_COOH_32,-122.64,-122.19432,0.44567932128906307
13_COOH_32,-122.64,-122.17159,0.4684072875976568
14_COOH_32,-122.64,-122.17159,0.4684072875976568
16_COOH_32,-122.64,-122.19097,0.4490286254882818
17_COOH_32,-122.64,-122.284225,0.35577453613281307
19_COOH_32,-122.64,-122.284225,0.35577453613281307
20_COOH_32,-122.64,-123.04913,0.40913330078124943
22_COOH_32,-122.64,-122.19097,0.4490286254882818
23_COOH_32,-122.64,-122.2137,0.42630065917968807
25_COOH_32,-122.64,-123.04913,0.40913330078124943
26_COOH_32,-122.64,-122.2137,0.42630065917968807
28_COOH_32,-121.72,-122.16716,0.44716003417968864
29_COOH_32,-121.72,-122.2137,0.49369934082031364
31_COOH_32,-122.58,-122.619576,0.039575500488282955
32_COOH_32,-122.58,-122.619576,0.039575500488282955
34_COOH_32,-122.93,-123.14131,0.21131164550780568
35_COOH_32,-122.93,-123.14131,0.21131164550780568
37_COOH_32,-126.15,-126.66454,0.5145431518554631
38_COOH_32,-126.15,-125.87022,0.27978363037109943
40_COOH_32,-81.25,-81.06175,0.1882476806640625
41_COOH_32,-81.25,-81.06175,0.1882476806640625
42_COOH_32,-81.25,-81.06175,0.1882476806640625
6_From_Review_22,-226.0,-218.89377,7.106231689453125
6_From_Review_90,-194.0,-198.70024,4.7002410888671875
