atomCode_fluorinated_compoundsCode,actual,prediction,diff
0_From_Review_483,-141.0,-134.27437,6.7256317138671875
5_From_Review_483,-48.0,-50.818195,2.818195343017578
7_other_10,-116.42,-115.2358,1.184198303222658
8_other_10,-116.42,-116.05305,0.36695281982422046
10_other_10,-122.93,-119.92391,3.006087951660163
11_other_10,-122.93,-121.98367,0.9463269042968818
13_other_10,-123.9,-121.593704,2.306295776367193
14_other_10,-123.9,-122.56397,1.3360275268554744
16_other_10,-124.51,-123.33404,1.1759622192382864
17_other_10,-124.51,-123.30797,1.2020318603515676
19_other_10,-127.34,-126.667625,0.6723745727539097
20_other_10,-127.34,-125.14802,2.191982116699222
22_other_10,-82.43,-81.24097,1.1890332031250068
23_other_10,-82.43,-81.24097,1.1890332031250068
24_other_10,-82.43,-80.452354,1.977645568847663
6_From_Review_80,-194.0,-197.04274,3.0427398681640625
0_From_Review_473,-141.0,-144.35507,3.355072021484375
4_From_Review_473,-141.0,-143.40164,2.401641845703125
6_From_Review_473,-93.0,-92.50813,0.4918670654296875
9_From_Review_473,-93.0,-88.68654,4.3134613037109375
0_From_Review_484,-45.0,-50.710026,5.710025787353516
5_From_Review_484,-155.0,-156.83087,1.83087158203125
7_From_Review_484,-72.0,-75.75147,3.7514724731445312
9_From_Review_296,-79.0,-77.419914,1.5800857543945312
10_From_Review_296,-79.0,-78.19786,0.8021392822265625
11_From_Review_296,-79.0,-78.19786,0.8021392822265625
0_From_Review_430,-81.1,-81.353645,0.25364532470703693
2_From_Review_430,-81.1,-81.24097,0.14096679687500568
3_From_Review_430,-81.1,-81.24097,0.14096679687500568
5_From_Review_430,-126.1,-125.14764,0.9523635864257756
6_From_Review_430,-126.1,-126.667625,0.5676254272460994
8_From_Review_430,-122.5,-123.3026,0.8025970458984375
9_From_Review_430,-122.5,-123.27653,0.7765274047851562
11_From_Review_430,-121.7,-122.257256,0.5572555541992159
12_From_Review_430,-121.7,-122.259514,0.5595138549804659
14_From_Review_430,-121.7,-122.257256,0.5572555541992159
15_From_Review_430,-121.7,-122.259514,0.5595138549804659
17_From_Review_430,-122.5,-123.27653,0.7765274047851562
18_From_Review_430,-122.5,-123.3026,0.8025970458984375
20_From_Review_430,-126.1,-126.667625,0.5676254272460994
21_From_Review_430,-126.1,-125.14802,0.9519821166992131
23_From_Review_430,-81.1,-81.24097,0.14096679687500568
24_From_Review_430,-81.1,-81.24097,0.14096679687500568
25_From_Review_430,-81.1,-81.353645,0.25364532470703693
0_I_2,-81.08,-81.24097,0.1609667968750017
2_I_2,-81.08,-81.24097,0.1609667968750017
3_I_2,-81.08,-81.24097,0.1609667968750017
5_I_2,-126.3,-125.71508,0.5849197387695284
6_I_2,-126.3,-125.71508,0.5849197387695284
8_I_2,-122.88,-122.45465,0.42534912109374545
9_I_2,-122.88,-122.45465,0.42534912109374545
11_I_2,-121.26,-122.48609,1.2260916137695261
12_I_2,-121.26,-122.48609,1.2260916137695261
14_I_2,-113.33,-116.50831,3.178308410644533
15_I_2,-113.33,-116.50831,3.178308410644533
17_I_2,-59.96,-60.47493,0.5149298095703116
18_I_2,-59.96,-60.11213,0.1521292114257804
0_From_Review_196,-139.0,-134.70212,4.297882080078125
7_From_Review_196,-139.0,-138.38075,0.6192474365234375
0_I_7,-80.91,-81.24097,0.3309667968750034
2_I_7,-80.91,-81.24097,0.3309667968750034
3_I_7,-80.91,-81.24097,0.3309667968750034
5_I_7,-126.22,-124.73626,1.4837405395507801
6_I_7,-126.22,-126.25625,0.03624847412109489
8_I_7,-122.79,-122.753,0.037001647949225
9_I_7,-122.79,-122.753,0.037001647949225
11_I_7,-121.98,-122.48609,0.5060916137695273
12_I_7,-121.98,-122.48609,0.5060916137695273
14_I_7,-121.77,-122.48609,0.7160916137695352
15_I_7,-121.77,-122.19373,0.42373321533203523
17_I_7,-121.77,-122.48609,0.7160916137695352
18_I_7,-121.77,-122.48609,0.7160916137695352
20_I_7,-121.77,-122.48609,0.7160916137695352
21_I_7,-121.77,-122.48609,0.7160916137695352
23_I_7,-121.77,-122.48609,0.7160916137695352
24_I_7,-121.77,-122.48609,0.7160916137695352
26_I_7,-121.77,-122.48609,0.7160916137695352
27_I_7,-121.77,-122.48609,0.7160916137695352
29_I_7,-120.97,-120.30423,0.6657702636718739
30_I_7,-120.97,-121.375206,0.4052059936523449
32_I_7,-113.26,-120.216545,6.956545104980464
33_I_7,-113.26,-116.50831,3.248308410644526
35_I_7,-60.03,-60.11213,0.08212921142578011
36_I_7,-60.03,-60.47493,0.44492980957031136
0_From_Review_277,-18.0,-22.53384,4.533840179443359
2_From_Review_277,-18.0,-22.53384,4.533840179443359
3_From_Review_277,-18.0,-21.47681,3.4768104553222656
9_From_Review_181,-130.6,-129.14456,1.4554382324218693
0_From_Review_6,-206.0,-210.62788,4.6278839111328125
