,actual,prediction,diff
0_From_Review_483,-141.0,-136.4172,4.582794189453125
5_From_Review_483,-48.0,-49.771927,1.7719268798828125
7_other_10,-116.42,-114.74151,1.678491516113283
8_other_10,-116.42,-114.74151,1.678491516113283
10_other_10,-122.93,-119.48806,3.441940002441413
11_other_10,-122.93,-119.48806,3.441940002441413
13_other_10,-123.9,-121.61272,2.287283325195318
14_other_10,-123.9,-121.61272,2.287283325195318
16_other_10,-124.51,-122.6077,1.9023034667968801
17_other_10,-124.51,-122.6077,1.9023034667968801
19_other_10,-127.34,-126.21394,1.126056518554691
20_other_10,-127.34,-126.21394,1.126056518554691
22_other_10,-82.43,-81.57016,0.8598400878906318
23_other_10,-82.43,-81.57016,0.8598400878906318
24_other_10,-82.43,-81.57016,0.8598400878906318
6_From_Review_80,-194.0,-197.18678,3.1867828369140625
0_From_Review_473,-141.0,-138.4935,2.506500244140625
4_From_Review_473,-141.0,-138.21597,2.784027099609375
6_From_Review_473,-93.0,-87.05983,5.9401702880859375
9_From_Review_473,-93.0,-96.00859,3.0085906982421875
0_From_Review_484,-45.0,-49.862953,4.862953186035156
5_From_Review_484,-155.0,-154.27809,0.7219085693359375
7_From_Review_484,-72.0,-75.430565,3.4305648803710938
9_From_Review_296,-79.0,-81.16449,2.16448974609375
10_From_Review_296,-79.0,-81.16449,2.16448974609375
11_From_Review_296,-79.0,-81.16449,2.16448974609375
0_From_Review_430,-81.1,-79.86383,1.2361694335937443
2_From_Review_430,-81.1,-79.86383,1.2361694335937443
3_From_Review_430,-81.1,-79.86383,1.2361694335937443
5_From_Review_430,-126.1,-124.587234,1.5127655029296818
6_From_Review_430,-126.1,-124.587234,1.5127655029296818
8_From_Review_430,-122.5,-121.548775,0.9512252807617188
9_From_Review_430,-122.5,-121.548775,0.9512252807617188
11_From_Review_430,-121.7,-120.70586,0.9941436767578153
12_From_Review_430,-121.7,-120.70586,0.9941436767578153
14_From_Review_430,-121.7,-120.70586,0.9941436767578153
15_From_Review_430,-121.7,-120.70586,0.9941436767578153
17_From_Review_430,-122.5,-122.6077,0.107696533203125
18_From_Review_430,-122.5,-122.6077,0.107696533203125
20_From_Review_430,-126.1,-126.21394,0.11394348144531818
21_From_Review_430,-126.1,-126.21394,0.11394348144531818
23_From_Review_430,-81.1,-80.003975,1.096025085449213
24_From_Review_430,-81.1,-80.003975,1.096025085449213
25_From_Review_430,-81.1,-80.003975,1.096025085449213
0_I_2,-81.08,-79.86383,1.2161694335937483
2_I_2,-81.08,-79.86383,1.2161694335937483
3_I_2,-81.08,-79.86383,1.2161694335937483
5_I_2,-126.3,-124.587234,1.7127655029296847
6_I_2,-126.3,-124.587234,1.7127655029296847
8_I_2,-122.88,-121.548775,1.3312252807617142
9_I_2,-122.88,-121.548775,1.3312252807617142
11_I_2,-121.26,-120.1962,1.0638024902343801
12_I_2,-121.26,-120.1962,1.0638024902343801
14_I_2,-113.33,-110.10364,3.2263623046874983
15_I_2,-113.33,-110.10364,3.2263623046874983
17_I_2,-59.96,-56.00099,3.9590081787109384
18_I_2,-59.96,-56.00099,3.9590081787109384
0_From_Review_196,-139.0,-136.55754,2.4424591064453125
7_From_Review_196,-139.0,-135.6232,3.376800537109375
0_I_7,-80.91,-79.86383,1.0461694335937466
2_I_7,-80.91,-79.86383,1.0461694335937466
3_I_7,-80.91,-79.86383,1.0461694335937466
5_I_7,-126.22,-124.587234,1.6327655029296864
6_I_7,-126.22,-124.587234,1.6327655029296864
8_I_7,-122.79,-121.548775,1.241225280761725
9_I_7,-122.79,-121.548775,1.241225280761725
11_I_7,-121.98,-120.70586,1.2741436767578165
12_I_7,-121.98,-120.70586,1.2741436767578165
14_I_7,-121.77,-120.70586,1.0641436767578085
15_I_7,-121.77,-120.70586,1.0641436767578085
17_I_7,-121.77,-120.70586,1.0641436767578085
18_I_7,-121.77,-120.70586,1.0641436767578085
20_I_7,-121.77,-120.70586,1.0641436767578085
21_I_7,-121.77,-120.70586,1.0641436767578085
23_I_7,-121.77,-120.70586,1.0641436767578085
24_I_7,-121.77,-120.70586,1.0641436767578085
26_I_7,-121.77,-120.70586,1.0641436767578085
27_I_7,-121.77,-120.70586,1.0641436767578085
29_I_7,-120.97,-120.1962,0.7738024902343739
30_I_7,-120.97,-120.1962,0.7738024902343739
32_I_7,-113.26,-110.10364,3.156362304687505
33_I_7,-113.26,-110.10364,3.156362304687505
35_I_7,-60.03,-56.00099,4.029008178710939
36_I_7,-60.03,-56.00099,4.029008178710939
0_From_Review_277,-18.0,-19.248825,1.2488250732421875
2_From_Review_277,-18.0,-19.248825,1.2488250732421875
3_From_Review_277,-18.0,-19.248825,1.2488250732421875
9_From_Review_181,-130.6,-132.77403,2.174032592773443
0_From_Review_6,-206.0,-212.72571,6.7257080078125
4_From_Review_242,-83.0,-82.92557,0.074432373046875
5_From_Review_242,-83.0,-82.92557,0.074432373046875
0_From_Review_13,-70.0,-65.70094,4.2990570068359375
2_From_Review_13,-70.0,-65.70094,4.2990570068359375
0_From_Review_461,-140.0,-136.42088,3.5791168212890625
7_From_Review_461,-87.0,-89.71759,2.71759033203125
5_other_12,-115.11,-114.31374,0.7962564086914057
6_other_12,-115.11,-114.31374,0.7962564086914057
8_other_12,-121.33,-120.81185,0.5181484985351545
9_other_12,-121.33,-120.81185,0.5181484985351545
11_other_12,-122.7,-120.020454,2.6795455932617216
12_other_12,-122.7,-120.020454,2.6795455932617216
14_other_12,-122.91,-120.70586,2.204143676757809
15_other_12,-122.91,-120.70586,2.204143676757809
17_other_12,-123.7,-120.70586,2.9941436767578153
18_other_12,-123.7,-120.70586,2.9941436767578153
20_other_12,-123.7,-122.6077,1.0923034667968778
21_other_12,-123.7,-122.6077,1.0923034667968778
23_other_12,-127.29,-126.21394,1.0760565185546938
24_other_12,-127.29,-126.21394,1.0760565185546938
26_other_12,-82.37,-81.57016,0.7998400878906295
27_other_12,-82.37,-81.57016,0.7998400878906295
28_other_12,-82.37,-81.57016,0.7998400878906295
3_From_Review_62,-227.0,-221.8453,5.154693603515625
14_From_Review_118,-137.0,-136.42972,0.570281982421875
0_From_Review_442,-117.0,-119.91546,2.9154586791992188
2_From_Review_442,-97.0,-98.85747,1.8574676513671875
4_From_Review_442,-145.0,-145.62524,0.625244140625
4_COOH_22,-119.17,-118.90608,0.2639178466796892
5_COOH_22,-119.17,-118.90608,0.2639178466796892
7_COOH_22,-121.82,-120.695435,1.1245654296874932
8_COOH_22,-121.82,-120.695435,1.1245654296874932
10_COOH_22,-122.1,-120.91809,1.1819091796874943
11_COOH_22,-122.1,-120.91809,1.1819091796874943
13_COOH_22,-122.1,-120.70586,1.3941436767578068
14_COOH_22,-122.1,-120.70586,1.3941436767578068
16_COOH_22,-123.0,-120.93145,2.0685501098632812
17_COOH_22,-123.0,-120.93145,2.0685501098632812
19_COOH_22,-123.48,-123.761215,0.2812152099609335
20_COOH_22,-123.48,-123.761215,0.2812152099609335
22_COOH_22,-129.49,-124.97312,4.516878356933603
23_COOH_22,-129.49,-124.97312,4.516878356933603
25_COOH_22,-137.3,-135.63614,1.6638610839843864
26_COOH_22,-137.3,-135.63614,1.6638610839843864
3_From_Review_168,-141.0,-137.48174,3.5182647705078125
5_From_Review_168,-104.0,-103.07866,0.9213409423828125
4_From_Review_366,-64.0,-62.35707,1.6429290771484375
5_From_Review_366,-64.0,-62.35707,1.6429290771484375
6_From_Review_366,-64.0,-62.35707,1.6429290771484375
3_From_Review_82,-144.0,-139.50952,4.490478515625
6_From_Review_81,-137.0,-133.84941,3.1505889892578125
3_olefins_2,-114.06,-113.24497,0.815027770996096
4_olefins_2,-114.06,-113.24497,0.815027770996096
6_olefins_2,-121.58,-119.48787,2.092130737304686
7_olefins_2,-121.58,-119.48787,2.092130737304686
9_olefins_2,-122.08,-121.59977,0.48023040771484204
10_olefins_2,-122.08,-121.59977,0.48023040771484204
12_olefins_2,-122.08,-120.70586,1.3741436767578108
13_olefins_2,-122.08,-120.70586,1.3741436767578108
15_olefins_2,-122.87,-120.70586,2.164143676757817
16_olefins_2,-122.87,-120.70586,2.164143676757817
18_olefins_2,-123.77,-122.6077,1.162303466796871
19_olefins_2,-123.77,-122.6077,1.162303466796871
21_olefins_2,-126.33,-126.21394,0.1160565185546858
22_olefins_2,-126.33,-126.21394,0.1160565185546858
24_olefins_2,-81.11,-80.003975,1.1060250854492182
25_olefins_2,-81.11,-80.003975,1.1060250854492182
26_olefins_2,-81.11,-80.003975,1.1060250854492182
10_From_Review_45,-152.0,-152.83167,0.8316650390625
5_From_Review_77,-190.0,-193.79369,3.7936859130859375
0_From_Review_17,-169.0,-171.95544,2.9554443359375
4_From_Review_187,-216.0,-222.02391,6.0239105224609375
0_From_Review_144,-125.0,-125.04145,0.04145050048828125
7_From_Review_335,-76.0,-75.50563,0.4943695068359375
8_From_Review_335,-76.0,-75.50563,0.4943695068359375
9_From_Review_335,-76.0,-75.50563,0.4943695068359375
0_aromatics_13,-135.16,-135.90335,0.7433508300781284
6_aromatics_13,-135.16,-135.15396,0.006038818359371589
8_aromatics_13,-161.56,-159.50908,2.0509210205078148
0_From_Review_30,-213.0,-196.66821,16.331787109375
3_From_Review_183,-216.0,-212.53511,3.4648895263671875
5_SO3H_7,-114.49,-113.56325,0.9267523193359324
6_SO3H_7,-114.49,-113.56325,0.9267523193359324
8_SO3H_7,-120.59,-120.55709,0.03290924072265966
9_SO3H_7,-120.59,-120.55709,0.03290924072265966
11_SO3H_7,-121.64,-120.020454,1.6195455932617193
12_SO3H_7,-121.64,-120.020454,1.6195455932617193
14_SO3H_7,-121.64,-120.70586,0.9341436767578131
15_SO3H_7,-121.64,-120.70586,0.9341436767578131
17_SO3H_7,-121.64,-120.70586,0.9341436767578131
18_SO3H_7,-121.64,-120.70586,0.9341436767578131
20_SO3H_7,-121.64,-120.70586,0.9341436767578131
21_SO3H_7,-121.64,-120.70586,0.9341436767578131
23_SO3H_7,-121.64,-120.70586,0.9341436767578131
24_SO3H_7,-121.64,-120.70586,0.9341436767578131
26_SO3H_7,-122.59,-122.6077,0.01769653320312159
