,0,1,2,3,4,5,NMR_Peaks
0_From_Review_483,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*N,*N/)","F-1;C(*C*C/*N,*N/*C,*&)","F-1;C(*C*C/*N,*N/*C,*&)*&F/","F-1;C(*C*C/*N,*N/*C,*&)*&F/,/",-141.0
5_From_Review_483,F-1;C(//),F-1;C(*N*N//),"F-1;C(*N*N/*C,*C/)","F-1;C(*N*N/*C,*C/*C,*&)","F-1;C(*N*N/*C,*C/*C,*&)*&F/","F-1;C(*N*N/*C,*C/*C,*&)*&F/,/",-48.0
7_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,C,/)","F-1;C(CCF/CFF,C,/CFF,,,P)","F-1;C(CCF/CFF,C,/CFF,,,P)CFF,,,=OOO/","F-1;C(CCF/CFF,C,/CFF,,,P)CFF,,,=OOO/CFF,,,,,/",-116.42
8_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,C,/)","F-1;C(CCF/CFF,C,/CFF,,,P)","F-1;C(CCF/CFF,C,/CFF,,,P)CFF,,,=OOO/","F-1;C(CCF/CFF,C,/CFF,,,P)CFF,,,=OOO/CFF,,,,,/",-116.42
10_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)CFF,,,P/","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)CFF,,,P/FFF,,,=OOO/",-122.93
11_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)CFF,,,P/","F-1;C(CCF/C,C,FF,FF,/CFF,C,,,,)CFF,,,P/FFF,,,=OOO/",-122.93
13_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)C,FFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)C,FFF,,,,/P,,,/",-123.9
14_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)C,FFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,CFF,FF,,,,)C,FFF,,,,/P,,,/",-123.9
16_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/C,,/",-124.51
17_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,CFF,FF,/CFF,FFF,,,,)CFF,,,,,/C,,/",-124.51
19_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-127.34
20_other_10,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-127.34
22_other_10,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-82.43
23_other_10,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-82.43
24_other_10,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-82.43
6_From_Review_80,F-1;C(//),F-1;C(CC//),"F-1;C(CC/=OC,C/)","F-1;C(CC/=OC,C/,&,&)","F-1;C(CC/=OC,C/,&,&)/","F-1;C(CC/=OC,C/,&,&)//",-194.0
0_From_Review_473,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*C,*NF/)","F-1;C(*C*C/*C,*NF/*CF,*&,)","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/,/",-141.0
4_From_Review_473,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*C,*NF/)","F-1;C(*C*C/*C,*NF/*CF,*&,)","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/,/",-141.0
