SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.8394999999999997,0.0,1.6258406334527988,0.6150664335878353,0.0,0.0,-0.08457888879133967,-0.2563920764987778,-0.5920000000000001,-0.3409709652901175,2.0,8.4417020690645,0.0,-0.2563920764987778,0.0,0.0,0.0,0.0,0.0,13.56524960662079,0.0,1.55
C,3.0,2.0,2.0,4.0,1.0,0.77,1.2227827321319187,5.837,0.0,1.0153999463481571,0.9848336151646034,0.0,0.0,0.04837657186141266,0.35960700705582865,0.9530000000000001,0.4079835789172413,2.0,9.082558933028604,0.0,0.35960700705582865,0.0,0.0,0.0,0.0,0.0,12.336806277041036,0.0,1.7
O,1.0,3.0,3.0,6.0,2.0,0.73,2.217735261477348,4.23175,0.0,1.8085402923118226,0.5529321100840496,0.0,0.0,0.03620231692992701,-0.14409210982062196,-1.817,-0.10788979289069495,2.0,5.925423831418644,0.0,-0.14409210982062196,0.0,0.0,0.0,0.0,0.0,12.34718986631402,0.0,1.55
C,4.0,3.0,3.0,4.0,2.0,0.77,2.454082965182718,7.2517499999999995,0.0,0.9430588852594606,1.0603791721074485,0.0,0.0,0.0,0.3885459361354962,0.716,0.3885459361354962,2.0,0.0,0.0,0.3885459361354962,0.0,0.0,0.0,0.0,0.0,11.830671429360185,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,3.562869587846291,4.3058749999999995,0.0,1.6158709420832984,0.6188613050437848,0.0,0.0,0.0,-0.19662650643092086,-0.317,-0.19662650643092086,2.0,4.634356684484817,0.0,-0.19662650643092086,0.0,0.0,0.0,0.0,0.0,12.026032066733887,0.0,1.5
Cl,1.0,3.0,3.0,7.0,3.0,0.99,3.125165904396117,5.329374999999999,0.0,1.603506850384231,0.6236331324436692,0.0,0.0,0.0,-0.10902089623235764,-0.304,-0.10902089623235764,3.0,5.362312435804603,0.0,-0.10902089623235764,0.0,0.0,0.0,0.0,0.0,11.146184445233986,0.0,1.8
C,4.0,3.0,3.0,4.0,3.0,0.77,3.033990398798256,5.355875000000001,0.0,0.9203569967310969,1.086534902816817,0.0,0.0,0.0,0.4538233252762832,0.9510000000000001,0.4538233252762832,2.0,0.0,0.0,0.4538233252762832,0.0,0.0,0.0,0.0,0.0,12.533294673898148,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,4.315201764691889,3.3579375000000002,0.0,1.6905684258337488,0.5915170215644028,0.0,0.0,0.0,-0.16528155982830997,-0.317,-0.16528155982830997,2.0,5.0043637868091295,0.0,-0.16528155982830997,0.0,0.0,0.0,0.0,0.0,12.433954962562442,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,2.8781187553678182,3.3579375000000002,0.0,1.608836512444159,0.621567196085568,0.0,0.0,0.0,-0.16528155982830997,-0.317,-0.16528155982830997,2.0,5.0043637868091295,0.0,-0.16528155982830997,0.0,0.0,0.0,0.0,0.0,12.433954962562442,0.0,1.5
F,1.0,3.0,3.0,7.0,4.0,0.72,3.4563287083262204,3.3579375000000002,0.0,1.6229551529110677,0.6161599710295855,0.0,0.0,0.0,-0.16528155982830997,-0.317,-0.16528155982830997,2.0,5.0043637868091295,0.0,-0.16528155982830997,0.0,0.0,0.0,0.0,0.0,12.433954962562442,0.0,1.5
