atomCode_fluorinated_compoundsCode,NMR_Peaks,SMILES_self,AtomDegreeDescriptor-aNeg_self,AtomHybridizationDescriptor-aHyb_self,AtomHybridizationVSEPRDescriptor-hybr_self,AtomValenceDescriptor-val_self,BondsToAtomDescriptor-bondsToAtom_self,CovalentRadiusDescriptor-covalentRadius_self,DistanceToAtomDescriptor-distanceToAtom_self,EffectiveAtomPolarizabilityDescriptor-effAtomPol_self,IPAtomicHOSEDescriptor-ipAtomicHOSE_self,InductiveAtomicHardnessDescriptor-indAtomHardnesss_self,InductiveAtomicSoftnessDescriptor-indAtomSoftness_self,PartialPiChargeDescriptor-pepe_self,PartialSigmaChargeDescriptor-partialSigmaCharge_self,PartialTChargeMMFF94Descriptor-partialTCMMFF94_self,PartialTChargePEOEDescriptor-pepeT_self,PeriodicTablePositionDescriptor-periodicTablePosition_self,PiElectronegativityDescriptor-elecPiA_self,level_0_neighbor1,index_neighbor1,SMILES_neighbor1,AtomDegreeDescriptor-aNeg_neighbor1,AtomHybridizationDescriptor-aHyb_neighbor1,AtomHybridizationVSEPRDescriptor-hybr_neighbor1,AtomValenceDescriptor-val_neighbor1,BondsToAtomDescriptor-bondsToAtom_neighbor1,CovalentRadiusDescriptor-covalentRadius_neighbor1,DistanceToAtomDescriptor-distanceToAtom_neighbor1,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor1,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor1,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor1,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor1,PartialPiChargeDescriptor-pepe_neighbor1,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor1,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor1,PartialTChargePEOEDescriptor-pepeT_neighbor1,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor1,PiElectronegativityDescriptor-elecPiA_neighbor1,level_0_neighbor2,index_neighbor2,SMILES_neighbor2,AtomDegreeDescriptor-aNeg_neighbor2,AtomHybridizationDescriptor-aHyb_neighbor2,AtomHybridizationVSEPRDescriptor-hybr_neighbor2,AtomValenceDescriptor-val_neighbor2,BondsToAtomDescriptor-bondsToAtom_neighbor2,CovalentRadiusDescriptor-covalentRadius_neighbor2,DistanceToAtomDescriptor-distanceToAtom_neighbor2,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor2,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor2,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor2,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor2,PartialPiChargeDescriptor-pepe_neighbor2,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor2,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor2,PartialTChargePEOEDescriptor-pepeT_neighbor2,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor2,PiElectronegativityDescriptor-elecPiA_neighbor2,level_0_neighbor3,index_neighbor3,SMILES_neighbor3,AtomDegreeDescriptor-aNeg_neighbor3,AtomHybridizationDescriptor-aHyb_neighbor3,AtomHybridizationVSEPRDescriptor-hybr_neighbor3,AtomValenceDescriptor-val_neighbor3,BondsToAtomDescriptor-bondsToAtom_neighbor3,CovalentRadiusDescriptor-covalentRadius_neighbor3,DistanceToAtomDescriptor-distanceToAtom_neighbor3,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor3,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor3,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor3,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor3,PartialPiChargeDescriptor-pepe_neighbor3,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor3,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor3,PartialTChargePEOEDescriptor-pepeT_neighbor3,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor3,PiElectronegativityDescriptor-elecPiA_neighbor3,level_0_neighbor4,index_neighbor4,SMILES_neighbor4,AtomDegreeDescriptor-aNeg_neighbor4,AtomHybridizationDescriptor-aHyb_neighbor4,AtomHybridizationVSEPRDescriptor-hybr_neighbor4,AtomValenceDescriptor-val_neighbor4,BondsToAtomDescriptor-bondsToAtom_neighbor4,CovalentRadiusDescriptor-covalentRadius_neighbor4,DistanceToAtomDescriptor-distanceToAtom_neighbor4,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor4,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor4,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor4,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor4,PartialPiChargeDescriptor-pepe_neighbor4,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor4,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor4,PartialTChargePEOEDescriptor-pepeT_neighbor4,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor4,PiElectronegativityDescriptor-elecPiA_neighbor4,level_0_neighbor5,index_neighbor5,SMILES_neighbor5,AtomDegreeDescriptor-aNeg_neighbor5,AtomHybridizationDescriptor-aHyb_neighbor5,AtomHybridizationVSEPRDescriptor-hybr_neighbor5,AtomValenceDescriptor-val_neighbor5,BondsToAtomDescriptor-bondsToAtom_neighbor5,CovalentRadiusDescriptor-covalentRadius_neighbor5,DistanceToAtomDescriptor-distanceToAtom_neighbor5,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor5,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor5,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor5,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor5,PartialPiChargeDescriptor-pepe_neighbor5,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor5,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor5,PartialTChargePEOEDescriptor-pepeT_neighbor5,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor5,PiElectronegativityDescriptor-elecPiA_neighbor5,SMILES,Compound name,Solvent_used_for_NMR
0_From_Review_199,-101.0,F,1.0,3.0,3.0,7.0,0.0,0.72,0.0,4.2019375,0.0,2.154998401079909,0.4640374672662782,0.1091915682960781,-0.2047220008435159,-0.19,-0.0955304325474377,2.0,4.540608102843705,0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.3391072287162071,6.725875,0.0,1.124333480680919,0.8894158336318329,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,1,2,C,2.0,2.0,2.0,4.0,2.0,0.77,2.3564305888355803,6.763000000000002,0.0,1.290835295519998,0.7746921729446216,-0.1091915682960781,0.0600493886164395,0.0,-0.0491421796796385,2.0,6.46318715413039,2.0,8,C,2.0,2.0,2.0,4.0,2.0,0.77,2.356483104119357,6.763,0.0,1.2908541481763107,0.7746808587265859,-0.0409468381110293,0.0600493886164395,0.0,0.0191025505054101,2.0,6.46318715413039,3.0,6,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615207601231221,6.725875,0.0,1.1243226434039004,0.8894244066565162,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,4.0,3,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615225051086031,6.725875,0.0,1.1243736987433457,0.8893840198482483,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,Fc1cc(F)cc(F)c1,"1,3,5-trifluorobenzene",CDCl3
4_From_Review_199,-101.0,F,1.0,3.0,3.0,7.0,4.0,0.72,4.71236536147188,4.2019375,0.0,2.155041988051946,0.4640280818398123,0.0682447301850489,-0.2047220008435159,-0.19,-0.136477270658467,2.0,4.540608102843705,0,3,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615225051086031,6.725875,0.0,1.1243736987433457,0.8893840198482483,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,1,2,C,2.0,2.0,2.0,4.0,2.0,0.77,2.3564305888355803,6.763000000000002,0.0,1.290835295519998,0.7746921729446216,-0.1091915682960781,0.0600493886164395,0.0,-0.0491421796796385,2.0,6.46318715413039,2.0,5,C,2.0,2.0,2.0,4.0,4.0,0.77,4.118281891760204,6.763,0.0,1.2908289518393825,0.7746959801103298,-0.0682447301850489,0.0600493886164395,0.0,-0.0081953415686093,2.0,6.46318715413039,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.3391072287162071,6.725875,0.0,1.124333480680919,0.8894158336318329,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,4.0,6,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615207601231221,6.725875,0.0,1.1243226434039004,0.8894244066565162,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,Fc1cc(F)cc(F)c1,"1,3,5-trifluorobenzene",CDCl3
7_From_Review_199,-101.0,F,1.0,3.0,3.0,7.0,4.0,0.72,4.7123615374883965,4.2019375,0.0,2.154897569374437,0.4640591804511146,0.0409468381110293,-0.2047220008435159,-0.19,-0.1637751627324865,2.0,4.540608102843705,0,6,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615207601231221,6.725875,0.0,1.1243226434039004,0.8894244066565162,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,1,5,C,2.0,2.0,2.0,4.0,4.0,0.77,4.118281891760204,6.763,0.0,1.2908289518393825,0.7746959801103298,-0.0682447301850489,0.0600493886164395,0.0,-0.0081953415686093,2.0,6.46318715413039,2.0,8,C,2.0,2.0,2.0,4.0,2.0,0.77,2.356483104119357,6.763,0.0,1.2908541481763107,0.7746808587265859,-0.0409468381110293,0.0600493886164395,0.0,0.0191025505054101,2.0,6.46318715413039,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.3391072287162071,6.725875,0.0,1.124333480680919,0.8894158336318329,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,4.0,3,C,3.0,2.0,2.0,4.0,3.0,0.77,3.615225051086031,6.725875,0.0,1.1243736987433457,0.8893840198482483,0.0,0.1446726122270763,0.19,0.1446726122270763,2.0,7.167858334534211,Fc1cc(F)cc(F)c1,"1,3,5-trifluorobenzene",CDCl3
3_From_Review_173,-73.0,F,1.0,3.0,3.0,7.0,3.0,0.72,3.222093324222624,4.106562500000001,0.0,2.2345942020456753,0.4475085449897538,0.1660353038069364,-0.2098236547268673,-0.182,-0.0437883509199308,2.0,4.481911632836716,0,2,C,3.0,2.0,2.0,4.0,2.0,0.77,2.499838566787864,6.535125000000002,0.0,1.2185152303568978,0.8206709075824226,0.0970199967937208,0.1231058380405181,0.0469999999999999,0.2201258348342389,2.0,6.985630087539047,1,4,C,2.0,2.0,2.0,4.0,3.0,0.77,3.4168359823087795,6.464375,0.0,1.3746770158098125,0.7274436020237867,-0.1494258436545748,0.0973701224622874,-0.04,-0.0520557211922873,2.0,6.770538096177683,2.0,1,C,2.0,3.0,3.0,4.0,1.0,0.77,1.519907674827652,6.304437500000002,0.0,1.6931758496112477,0.5906061087686784,0.0,0.0573452952362979,0.135,0.0573452952362979,2.0,0.0,3.0,0,C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,5.0869687500000005,0.0,2.574543986886469,0.388418300519834,0.0,0.0077961943038655,0.0,0.0077961943038655,2.0,0.0,4.0,5,C,3.0,2.0,2.0,4.0,4.0,0.77,3.798423858655061,5.596312500000001,0.0,1.2018248189594642,0.8320680220814515,0.0468876486848799,0.3261111907886524,1.088,0.3729988394735323,2.0,8.772377849943744,CC/C(F)=C\C(=O)O,(E)-3-fluoropent-2-enoic acid,CDCl3
4_From_Review_203,-93.3,F,1.0,3.0,3.0,7.0,3.0,0.72,2.866502281527088,3.4668750000000013,0.0,2.1365968004252154,0.4680340248571863,0.0,-0.2048892790561055,-0.317,-0.2048892790561055,2.0,4.53867881498008,0,2,C,4.0,3.0,3.0,4.0,2.0,0.77,2.5205469128742672,5.573750000000002,0.0,1.2001442148282817,0.8332331961814117,0.0,0.2636854357200991,0.634,0.2636854357200991,2.0,0.0,1,5,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8665336785044055,3.4668750000000013,0.0,2.1365932733570756,0.4680347974833655,0.0,-0.2048892790561055,-0.317,-0.2048892790561055,2.0,4.53867881498008,2.0,3,C,1.0,3.0,3.0,4.0,3.0,0.77,3.878615955466589,4.721625000000001,0.0,2.4462209552191068,0.4087938163829647,0.0,0.0729394370884723,0.0,0.0729394370884723,2.0,0.0,3.0,1,C,2.0,3.0,3.0,4.0,1.0,0.77,1.5218634827079591,5.6647500000000015,0.0,1.80621806391584,0.5536430068870104,0.0,0.0671288701204267,0.0,0.0671288701204267,2.0,0.0,4.0,0,C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,4.767125,0.0,2.773964970049461,0.3604948190755882,0.0,0.0060248151832126,0.0,0.0060248151832126,2.0,0.0,CCC(C)(F)F,"2,2-difluorobutane",CDCl3
5_From_Review_203,-93.3,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8665336785044055,3.4668750000000013,0.0,2.1365932733570756,0.4680347974833655,0.0,-0.2048892790561055,-0.317,-0.2048892790561055,2.0,4.53867881498008,0,2,C,4.0,3.0,3.0,4.0,2.0,0.77,2.5205469128742672,5.573750000000002,0.0,1.2001442148282817,0.8332331961814117,0.0,0.2636854357200991,0.634,0.2636854357200991,2.0,0.0,1,4,F,1.0,3.0,3.0,7.0,3.0,0.72,2.866502281527088,3.4668750000000013,0.0,2.1365968004252154,0.4680340248571863,0.0,-0.2048892790561055,-0.317,-0.2048892790561055,2.0,4.53867881498008,2.0,3,C,1.0,3.0,3.0,4.0,3.0,0.77,3.878615955466589,4.721625000000001,0.0,2.4462209552191068,0.4087938163829647,0.0,0.0729394370884723,0.0,0.0729394370884723,2.0,0.0,3.0,1,C,2.0,3.0,3.0,4.0,1.0,0.77,1.5218634827079591,5.6647500000000015,0.0,1.80621806391584,0.5536430068870104,0.0,0.0671288701204267,0.0,0.0671288701204267,2.0,0.0,4.0,0,C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,4.767125,0.0,2.773964970049461,0.3604948190755882,0.0,0.0060248151832126,0.0,0.0060248151832126,2.0,0.0,CCC(C)(F)F,"2,2-difluorobutane",CDCl3
3_Short_1,-83.11,F,1.0,3.0,3.0,7.0,3.0,0.72,2.744810891482326,2.839,0.0,1.789829037003222,0.5587125805458703,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,0,2,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4142482660240225,4.318,0.0,0.9466348693151728,1.0563735104364296,0.0,0.4594284398011354,1.046,0.4594284398011354,2.0,0.0,1,5,F,1.0,3.0,3.0,7.0,3.0,0.72,3.428624520124652,2.839,0.0,1.621547427680961,0.616694882264492,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,2.0,4,F,1.0,3.0,3.0,7.0,3.0,0.72,3.260257380944026,2.839,0.0,1.6772113254524283,0.5962277888448253,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.234564878813584,4.857999999999999,0.0,0.9741435415477948,1.0265427602292805,0.0,0.3382447473510249,0.4020000000000001,0.3382447473510249,2.0,8.884235294168112,4.0,0,O,1.0,2.0,2.0,6.0,0.0,0.73,0.0,3.3499999999999988,0.0,1.6324725311273929,0.6125677344839582,0.0,-0.2787553795308494,-0.5920000000000001,-0.2787553795308494,2.0,8.261458931467867,O=C(C(F)(F)F)C(F)(F)F,hexafluoroacetone,CDCl3
4_Short_1,-83.11,F,1.0,3.0,3.0,7.0,3.0,0.72,3.260257380944026,2.839,0.0,1.6772113254524283,0.5962277888448253,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,0,2,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4142482660240225,4.318,0.0,0.9466348693151728,1.0563735104364296,0.0,0.4594284398011354,1.046,0.4594284398011354,2.0,0.0,1,3,F,1.0,3.0,3.0,7.0,3.0,0.72,2.744810891482326,2.839,0.0,1.789829037003222,0.5587125805458703,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,2.0,5,F,1.0,3.0,3.0,7.0,3.0,0.72,3.428624520124652,2.839,0.0,1.621547427680961,0.616694882264492,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.234564878813584,4.857999999999999,0.0,0.9741435415477948,1.0265427602292805,0.0,0.3382447473510249,0.4020000000000001,0.3382447473510249,2.0,8.884235294168112,4.0,9,F,1.0,3.0,3.0,7.0,3.0,0.72,3.4285965029440253,2.839,0.0,1.621409819838505,0.6167472206993304,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,O=C(C(F)(F)F)C(F)(F)F,hexafluoroacetone,CDCl3
5_Short_1,-83.11,F,1.0,3.0,3.0,7.0,3.0,0.72,3.428624520124652,2.839,0.0,1.621547427680961,0.616694882264492,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,0,2,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4142482660240225,4.318,0.0,0.9466348693151728,1.0563735104364296,0.0,0.4594284398011354,1.046,0.4594284398011354,2.0,0.0,1,3,F,1.0,3.0,3.0,7.0,3.0,0.72,2.744810891482326,2.839,0.0,1.789829037003222,0.5587125805458703,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,2.0,4,F,1.0,3.0,3.0,7.0,3.0,0.72,3.260257380944026,2.839,0.0,1.6772113254524283,0.5962277888448253,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.234564878813584,4.857999999999999,0.0,0.9741435415477948,1.0265427602292805,0.0,0.3382447473510249,0.4020000000000001,0.3382447473510249,2.0,8.884235294168112,4.0,7,F,1.0,3.0,3.0,7.0,3.0,0.72,3.260160948480918,2.839,0.0,1.6772861804433463,0.5962011800131068,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,O=C(C(F)(F)F)C(F)(F)F,hexafluoroacetone,CDCl3
7_Short_1,-83.11,F,1.0,3.0,3.0,7.0,3.0,0.72,3.260160948480918,2.839,0.0,1.6772861804433463,0.5962011800131068,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,0,6,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4141895658792,4.318,0.0,0.9466216713974096,1.0563882385280623,0.0,0.4594284398011354,1.046,0.4594284398011354,2.0,0.0,1,8,F,1.0,3.0,3.0,7.0,3.0,0.72,2.744766618494184,2.839,0.0,1.7898124699074365,0.55871775217418,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,2.0,9,F,1.0,3.0,3.0,7.0,3.0,0.72,3.4285965029440253,2.839,0.0,1.621409819838505,0.6167472206993304,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,3.0,1,C,3.0,2.0,2.0,4.0,1.0,0.77,1.234564878813584,4.857999999999999,0.0,0.9741435415477948,1.0265427602292805,0.0,0.3382447473510249,0.4020000000000001,0.3382447473510249,2.0,8.884235294168112,4.0,5,F,1.0,3.0,3.0,7.0,3.0,0.72,3.428624520124652,2.839,0.0,1.621547427680961,0.616694882264492,0.0,-0.1630577079037411,-0.317,-0.1630577079037411,2.0,5.031038963940895,O=C(C(F)(F)F)C(F)(F)F,hexafluoroacetone,CDCl3
