atomCode_fluorinated_compoundsCode,NMR_Peaks,SMILES_self,AtomDegreeDescriptor-aNeg_self,AtomHybridizationDescriptor-aHyb_self,AtomHybridizationVSEPRDescriptor-hybr_self,AtomValenceDescriptor-val_self,BondsToAtomDescriptor-bondsToAtom_self,CovalentRadiusDescriptor-covalentRadius_self,DistanceToAtomDescriptor-distanceToAtom_self,EffectiveAtomPolarizabilityDescriptor-effAtomPol_self,IPAtomicHOSEDescriptor-ipAtomicHOSE_self,InductiveAtomicHardnessDescriptor-indAtomHardnesss_self,InductiveAtomicSoftnessDescriptor-indAtomSoftness_self,PartialPiChargeDescriptor-pepe_self,PartialSigmaChargeDescriptor-partialSigmaCharge_self,PartialTChargeMMFF94Descriptor-partialTCMMFF94_self,PartialTChargePEOEDescriptor-pepeT_self,PeriodicTablePositionDescriptor-periodicTablePosition_self,PiElectronegativityDescriptor-elecPiA_self,level_0_neighbor1,index_neighbor1,SMILES_neighbor1,AtomDegreeDescriptor-aNeg_neighbor1,AtomHybridizationDescriptor-aHyb_neighbor1,AtomHybridizationVSEPRDescriptor-hybr_neighbor1,AtomValenceDescriptor-val_neighbor1,BondsToAtomDescriptor-bondsToAtom_neighbor1,CovalentRadiusDescriptor-covalentRadius_neighbor1,DistanceToAtomDescriptor-distanceToAtom_neighbor1,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor1,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor1,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor1,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor1,PartialPiChargeDescriptor-pepe_neighbor1,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor1,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor1,PartialTChargePEOEDescriptor-pepeT_neighbor1,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor1,PiElectronegativityDescriptor-elecPiA_neighbor1,level_0_neighbor2,index_neighbor2,SMILES_neighbor2,AtomDegreeDescriptor-aNeg_neighbor2,AtomHybridizationDescriptor-aHyb_neighbor2,AtomHybridizationVSEPRDescriptor-hybr_neighbor2,AtomValenceDescriptor-val_neighbor2,BondsToAtomDescriptor-bondsToAtom_neighbor2,CovalentRadiusDescriptor-covalentRadius_neighbor2,DistanceToAtomDescriptor-distanceToAtom_neighbor2,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor2,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor2,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor2,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor2,PartialPiChargeDescriptor-pepe_neighbor2,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor2,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor2,PartialTChargePEOEDescriptor-pepeT_neighbor2,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor2,PiElectronegativityDescriptor-elecPiA_neighbor2,level_0_neighbor3,index_neighbor3,SMILES_neighbor3,AtomDegreeDescriptor-aNeg_neighbor3,AtomHybridizationDescriptor-aHyb_neighbor3,AtomHybridizationVSEPRDescriptor-hybr_neighbor3,AtomValenceDescriptor-val_neighbor3,BondsToAtomDescriptor-bondsToAtom_neighbor3,CovalentRadiusDescriptor-covalentRadius_neighbor3,DistanceToAtomDescriptor-distanceToAtom_neighbor3,EffectiveAtomPolarizabilityDescriptor-effAtomPol_neighbor3,IPAtomicHOSEDescriptor-ipAtomicHOSE_neighbor3,InductiveAtomicHardnessDescriptor-indAtomHardnesss_neighbor3,InductiveAtomicSoftnessDescriptor-indAtomSoftness_neighbor3,PartialPiChargeDescriptor-pepe_neighbor3,PartialSigmaChargeDescriptor-partialSigmaCharge_neighbor3,PartialTChargeMMFF94Descriptor-partialTCMMFF94_neighbor3,PartialTChargePEOEDescriptor-pepeT_neighbor3,PeriodicTablePositionDescriptor-periodicTablePosition_neighbor3,PiElectronegativityDescriptor-elecPiA_neighbor3,SMILES,Compound name,Solvent_used_for_NMR
4_ether_12,-119.9,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8430259794803145,3.725625,0.0,1.2685716886969376,0.7882881266467396,0.0,-0.1873741271510109,-0.317,-0.1873741271510109,2.0,4.7424140785124145,0,3,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4514697978967637,6.0912500000000005,0.0,0.7776926931384379,1.285854951220416,0.0,0.4042782610950842,0.7290000000000001,0.4042782610950842,2.0,0.0,1,5,F,1.0,3.0,3.0,7.0,3.0,0.72,3.5214105256274792,3.725625,0.0,1.2739487925707218,0.7849609072450109,0.0,-0.1873741271510109,-0.317,-0.1873741271510109,2.0,4.7424140785124145,2.0,6.0,C,4.0,3.0,3.0,4.0,3.0,0.77,3.1685574793587064,6.105374999999999,0.0,0.746498854286016,1.3395867847063792,0.0,0.408335417724228,0.634,0.408335417724228,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
5_ether_12,-119.9,F,1.0,3.0,3.0,7.0,3.0,0.72,3.5214105256274792,3.725625,0.0,1.2739487925707218,0.7849609072450109,0.0,-0.1873741271510109,-0.317,-0.1873741271510109,2.0,4.7424140785124145,0,3,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4514697978967637,6.0912500000000005,0.0,0.7776926931384379,1.285854951220416,0.0,0.4042782610950842,0.7290000000000001,0.4042782610950842,2.0,0.0,1,4,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8430259794803145,3.725625,0.0,1.2685716886969376,0.7882881266467396,0.0,-0.1873741271510109,-0.317,-0.1873741271510109,2.0,4.7424140785124145,2.0,6.0,C,4.0,3.0,3.0,4.0,3.0,0.77,3.1685574793587064,6.105374999999999,0.0,0.746498854286016,1.3395867847063792,0.0,0.408335417724228,0.634,0.408335417724228,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
7_ether_12,-129.4,F,1.0,3.0,3.0,7.0,4.0,0.72,3.5959820869965413,3.7326875,0.0,1.2681832409856597,0.78852958127942,0.0,-0.1888830721135094,-0.317,-0.1888830721135094,2.0,4.72472492931505,0,6,C,4.0,3.0,3.0,4.0,3.0,0.77,3.1685574793587064,6.105374999999999,0.0,0.746498854286016,1.3395867847063792,0.0,0.408335417724228,0.634,0.408335417724228,2.0,0.0,1,8,F,1.0,3.0,3.0,7.0,4.0,0.72,2.9947248053869657,3.7326875,0.0,1.250373166823319,0.7997612445095784,0.0,-0.1888830721135094,-0.317,-0.1888830721135094,2.0,4.72472492931505,2.0,9.0,C,4.0,3.0,3.0,4.0,4.0,0.77,4.5739601320956,5.624187499999999,0.0,0.7350448393979361,1.3604612214121312,0.0,0.4325253694097858,0.877,0.4325253694097858,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
8_ether_12,-129.4,F,1.0,3.0,3.0,7.0,4.0,0.72,2.9947248053869657,3.7326875,0.0,1.250373166823319,0.7997612445095784,0.0,-0.1888830721135094,-0.317,-0.1888830721135094,2.0,4.72472492931505,0,6,C,4.0,3.0,3.0,4.0,3.0,0.77,3.1685574793587064,6.105374999999999,0.0,0.746498854286016,1.3395867847063792,0.0,0.408335417724228,0.634,0.408335417724228,2.0,0.0,1,7,F,1.0,3.0,3.0,7.0,4.0,0.72,3.5959820869965413,3.7326875,0.0,1.2681832409856597,0.78852958127942,0.0,-0.1888830721135094,-0.317,-0.1888830721135094,2.0,4.72472492931505,2.0,9.0,C,4.0,3.0,3.0,4.0,4.0,0.77,4.5739601320956,5.624187499999999,0.0,0.7350448393979361,1.3604612214121312,0.0,0.4325253694097858,0.877,0.4325253694097858,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
10_ether_12,-87.7,F,1.0,3.0,3.0,7.0,5.0,0.72,5.237808139861558,3.49209375,0.0,1.1858279999156818,0.8432926192256424,0.0,-0.1682026054739392,-0.317,-0.1682026054739392,2.0,4.9694111097843,0,9,C,4.0,3.0,3.0,4.0,4.0,0.77,4.5739601320956,5.624187499999999,0.0,0.7350448393979361,1.3604612214121312,0.0,0.4325253694097858,0.877,0.4325253694097858,2.0,0.0,1,11,F,1.0,3.0,3.0,7.0,5.0,0.72,5.450714750379073,3.49209375,0.0,1.2105264862300051,0.826086840209786,0.0,-0.1682026054739392,-0.317,-0.1682026054739392,2.0,4.9694111097843,2.0,12.0,O,2.0,3.0,3.0,6.0,5.0,0.73,4.9183242125748485,4.80709375,0.0,0.9399985355163712,1.0638314446422708,0.0,-0.2210170814193094,-0.486,-0.2210170814193094,2.0,4.982400447662894,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
11_ether_12,-87.7,F,1.0,3.0,3.0,7.0,5.0,0.72,5.450714750379073,3.49209375,0.0,1.2105264862300051,0.826086840209786,0.0,-0.1682026054739392,-0.317,-0.1682026054739392,2.0,4.9694111097843,0,9,C,4.0,3.0,3.0,4.0,4.0,0.77,4.5739601320956,5.624187499999999,0.0,0.7350448393979361,1.3604612214121312,0.0,0.4325253694097858,0.877,0.4325253694097858,2.0,0.0,1,10,F,1.0,3.0,3.0,7.0,5.0,0.72,5.237808139861558,3.49209375,0.0,1.1858279999156818,0.8432926192256424,0.0,-0.1682026054739392,-0.317,-0.1682026054739392,2.0,4.9694111097843,2.0,12.0,O,2.0,3.0,3.0,6.0,5.0,0.73,4.9183242125748485,4.80709375,0.0,0.9399985355163712,1.0638314446422708,0.0,-0.2210170814193094,-0.486,-0.2210170814193094,2.0,4.982400447662894,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
14_ether_12,-57.8,F,1.0,3.0,3.0,7.0,7.0,0.72,6.987662162697908,2.6467734375000003,0.0,1.3752740084471715,0.7271278260607169,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,0,13,C,4.0,3.0,3.0,4.0,6.0,0.77,6.303588275736289,3.9335468749999993,0.0,0.8437324960729993,1.1852097728300377,0.0,0.5273457778289711,1.194,0.5273457778289711,2.0,0.0,1,15,F,1.0,3.0,3.0,7.0,7.0,0.72,6.9212653510756255,2.6467734375000003,0.0,1.596517994055954,0.6263631250779078,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,2.0,16.0,F,1.0,3.0,3.0,7.0,7.0,0.72,6.732727849839171,2.6467734375000003,0.0,1.446349328615909,0.6913959029226742,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
15_ether_12,-57.8,F,1.0,3.0,3.0,7.0,7.0,0.72,6.9212653510756255,2.6467734375000003,0.0,1.596517994055954,0.6263631250779078,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,0,13,C,4.0,3.0,3.0,4.0,6.0,0.77,6.303588275736289,3.9335468749999993,0.0,0.8437324960729993,1.1852097728300377,0.0,0.5273457778289711,1.194,0.5273457778289711,2.0,0.0,1,16,F,1.0,3.0,3.0,7.0,7.0,0.72,6.732727849839171,2.6467734375000003,0.0,1.446349328615909,0.6913959029226742,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,2.0,14.0,F,1.0,3.0,3.0,7.0,7.0,0.72,6.987662162697908,2.6467734375000003,0.0,1.3752740084471715,0.7271278260607169,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
16_ether_12,-57.8,F,1.0,3.0,3.0,7.0,7.0,0.72,6.732727849839171,2.6467734375000003,0.0,1.446349328615909,0.6913959029226742,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,0,13,C,4.0,3.0,3.0,4.0,6.0,0.77,6.303588275736289,3.9335468749999993,0.0,0.8437324960729993,1.1852097728300377,0.0,0.5273457778289711,1.194,0.5273457778289711,2.0,0.0,1,15,F,1.0,3.0,3.0,7.0,7.0,0.72,6.9212653510756255,2.6467734375000003,0.0,1.596517994055954,0.6263631250779078,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,2.0,14.0,F,1.0,3.0,3.0,7.0,7.0,0.72,6.987662162697908,2.6467734375000003,0.0,1.3752740084471715,0.7271278260607169,0.0,-0.1437013432608532,-0.317,-0.1437013432608532,2.0,5.2655918143968234,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,Perfluoro-4-methoxybutanoic acid,D2O
5_From_Review_266,-174.8,F,1.0,3.0,3.0,7.0,5.0,0.72,6.28047225851687,3.88940625,0.0,2.092399472491336,0.4779202122476833,0.0827857165274848,-0.2046270534403127,-0.182,-0.1218413369128278,2.0,4.541703311395359,0,4,C,3.0,2.0,2.0,4.0,4.0,0.77,5.118781442882671,6.1008125,0.0,1.1647415654221809,0.8585595549151135,-0.1338197993653111,0.1734034978486758,0.0469999999999999,0.0395836984833646,2.0,7.413423157688341,1,6,C,3.0,2.0,2.0,4.0,5.0,0.77,5.476488142961691,4.8764062500000005,0.0,1.1631249740179532,0.8597528402692217,-0.0721154116947701,0.3016843040739053,0.364,0.2295688923791351,2.0,8.548922564795708,2.0,3.0,C,2.0,3.0,3.0,4.0,3.0,0.77,3.8801806040440954,6.794625,0.0,1.554495416984231,0.6432955601374694,0.0,0.0619784149431748,0.135,0.0619784149431748,2.0,0.0,CCCCC(F)=C(F)F,"1,1,2-trifluorohex-1-ene",CDCl3
7_From_Review_266,-106.7,F,1.0,3.0,3.0,7.0,6.0,0.72,4.809009872104651,3.277203125,0.0,1.9770391157064329,0.5058068867002065,0.0615747472662982,-0.1701667944105544,-0.182,-0.1085920471442561,2.0,4.945962500855111,0,6,C,3.0,2.0,2.0,4.0,5.0,0.77,5.476488142961691,4.8764062500000005,0.0,1.1631249740179532,0.8597528402692217,-0.0721154116947701,0.3016843040739053,0.364,0.2295688923791351,2.0,8.548922564795708,1,8,F,1.0,3.0,3.0,7.0,6.0,0.72,6.819141805975294,3.277203125,0.0,2.150809092713968,0.4649413113360815,0.0615747472662982,-0.1701667944105544,-0.182,-0.1085920471442561,2.0,4.945962500855111,2.0,4.0,C,3.0,2.0,2.0,4.0,4.0,0.77,5.118781442882671,6.1008125,0.0,1.1647415654221809,0.8585595549151135,-0.1338197993653111,0.1734034978486758,0.0469999999999999,0.0395836984833646,2.0,7.413423157688341,CCCCC(F)=C(F)F,"1,1,2-trifluorohex-1-ene",CDCl3
8_From_Review_266,-125.8,F,1.0,3.0,3.0,7.0,6.0,0.72,6.819141805975294,3.277203125,0.0,2.150809092713968,0.4649413113360815,0.0615747472662982,-0.1701667944105544,-0.182,-0.1085920471442561,2.0,4.945962500855111,0,6,C,3.0,2.0,2.0,4.0,5.0,0.77,5.476488142961691,4.8764062500000005,0.0,1.1631249740179532,0.8597528402692217,-0.0721154116947701,0.3016843040739053,0.364,0.2295688923791351,2.0,8.548922564795708,1,4,C,3.0,2.0,2.0,4.0,4.0,0.77,5.118781442882671,6.1008125,0.0,1.1647415654221809,0.8585595549151135,-0.1338197993653111,0.1734034978486758,0.0469999999999999,0.0395836984833646,2.0,7.413423157688341,2.0,7.0,F,1.0,3.0,3.0,7.0,6.0,0.72,4.809009872104651,3.277203125,0.0,1.9770391157064329,0.5058068867002065,0.0615747472662982,-0.1701667944105544,-0.182,-0.1085920471442561,2.0,4.945962500855111,CCCCC(F)=C(F)F,"1,1,2-trifluorohex-1-ene",CDCl3
4_COOH_6,-119.16,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8212524789532747,3.869437499999999,0.0,1.1096660347313698,0.901172036181212,0.0,-0.1873933961826169,-0.317,-0.1873933961826169,2.0,4.742188027327546,0,3,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4534539429139484,6.378874999999999,0.0,0.7044052536355486,1.4196373392146628,0.0,0.4013227671342811,0.7290000000000001,0.4013227671342811,2.0,0.0,1,5,F,1.0,3.0,3.0,7.0,3.0,0.72,3.4971699687032656,3.869437499999999,0.0,1.0332627839990502,0.9678080111718408,0.0,-0.1873933961826169,-0.317,-0.1873933961826169,2.0,4.742188027327546,2.0,6.0,C,4.0,3.0,3.0,4.0,3.0,0.77,3.239762054534252,6.680624999999999,0.0,0.6703655748817344,1.4917233782125812,0.0,0.3875986067841475,0.634,0.3875986067841475,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
5_COOH_6,-119.16,F,1.0,3.0,3.0,7.0,3.0,0.72,3.4971699687032656,3.869437499999999,0.0,1.0332627839990502,0.9678080111718408,0.0,-0.1873933961826169,-0.317,-0.1873933961826169,2.0,4.742188027327546,0,3,C,4.0,3.0,3.0,4.0,2.0,0.77,2.4534539429139484,6.378874999999999,0.0,0.7044052536355486,1.4196373392146628,0.0,0.4013227671342811,0.7290000000000001,0.4013227671342811,2.0,0.0,1,4,F,1.0,3.0,3.0,7.0,3.0,0.72,2.8212524789532747,3.869437499999999,0.0,1.1096660347313698,0.901172036181212,0.0,-0.1873933961826169,-0.317,-0.1873933961826169,2.0,4.742188027327546,2.0,14.0,F,1.0,3.0,3.0,7.0,6.0,0.72,5.26984313333898,4.0340468750000005,0.0,0.9053728145416482,1.1045173700143156,0.0,-0.1920069959896793,-0.317,-0.1920069959896793,2.0,4.688185814954054,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
7_COOH_6,-121.84,F,1.0,3.0,3.0,7.0,4.0,0.72,3.8214478578151505,4.0203125,0.0,1.062491811588827,0.9411837240464204,0.0,-0.1916171380343157,-0.317,-0.1916171380343157,2.0,4.692739751546849,0,6,C,4.0,3.0,3.0,4.0,3.0,0.77,3.239762054534252,6.680624999999999,0.0,0.6703655748817344,1.4917233782125812,0.0,0.3875986067841475,0.634,0.3875986067841475,2.0,0.0,1,8,F,1.0,3.0,3.0,7.0,4.0,0.72,2.9840915887418737,4.0203125,0.0,1.1367669952794976,0.8796877496906297,0.0,-0.1916171380343157,-0.317,-0.1916171380343157,2.0,4.692739751546849,2.0,9.0,C,4.0,3.0,3.0,4.0,4.0,0.77,4.572876601221599,6.7746875,0.0,0.645472926582265,1.5492516553636595,0.0,0.3843717091998136,0.634,0.3843717091998136,2.0,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctanoic acid,CDCl3
