,NumberOfFatomsOnSameCarbon,NMR_Peak,SMILES,Compound name,Sovelnt_used_for_NMR
4_COOH_1,2,-122.45,O=C(O)C(F)(F)C(F)(F)F,perfluoropropionic acid,CDCl3
5_COOH_1,2,-122.45,O=C(O)C(F)(F)C(F)(F)F,perfluoropropionic acid,CDCl3
7_COOH_1,3,-83.4,O=C(O)C(F)(F)C(F)(F)F,perfluoropropionic acid,CDCl3
8_COOH_1,3,-83.4,O=C(O)C(F)(F)C(F)(F)F,perfluoropropionic acid,CDCl3
9_COOH_1,3,-83.4,O=C(O)C(F)(F)C(F)(F)F,perfluoropropionic acid,CDCl3
4_COOH_2,2,-119.78,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
5_COOH_2,2,-119.78,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
7_COOH_2,2,-127.39,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
8_COOH_2,2,-127.39,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
10_COOH_2,3,-81.14,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
11_COOH_2,3,-81.14,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
12_COOH_2,3,-81.14,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutanoic acid,CDCl3
4_COOH_3,2,-119.41,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
5_COOH_3,2,-119.41,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
7_COOH_3,2,-123.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
8_COOH_3,2,-123.99,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
10_COOH_3,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
11_COOH_3,2,-126.26,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
13_COOH_3,3,-81.19,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
14_COOH_3,3,-81.19,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
15_COOH_3,3,-81.19,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,CDCl3
4_COOH_4,2,-119.23,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
5_COOH_4,2,-119.23,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
7_COOH_4,2,-122.87,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexanoic acid,CDCl3
